instance,seed,dist_type,dist_class,n_alive,n_T_impact,n_R1_release,n_seeds,n_closure,closure_frac,R1_empty,R2_covers_R1,R2_strictly_larger
example_3x3x2,42,corridor_block,B,18,0,0,6,16,0.8889,True,True,True
example_3x3x2,42,corridor_slowdown,B,18,0,0,6,16,0.8889,True,True,True
example_3x3x2,42,agv_breakdown,A,18,1,11,11,11,0.6111,False,True,False
example_3x3x2,42,ra_failure,A,18,8,18,18,18,1.0,False,True,False
example_3x3x2,7,corridor_block,B,19,0,0,7,19,1.0,True,True,True
example_3x3x2,7,corridor_slowdown,B,19,0,0,7,19,1.0,True,True,True
example_3x3x2,7,agv_breakdown,A,19,1,12,12,19,1.0,False,True,True
example_3x3x2,7,ra_failure,A,19,8,19,19,19,1.0,False,True,False
congested_8x4x4,42,corridor_block,B,54,0,0,16,53,0.9815,True,True,True
congested_8x4x4,42,corridor_slowdown,B,54,0,0,16,53,0.9815,True,True,True
congested_8x4x4,42,agv_breakdown,A,54,1,34,22,43,0.7963,False,True,True
congested_8x4x4,42,ra_failure,A,54,13,26,32,44,0.8148,False,True,True
congested_8x4x4,7,corridor_block,B,52,0,0,16,51,0.9808,True,True,True
congested_8x4x4,7,corridor_slowdown,B,52,0,0,16,51,0.9808,True,True,True
congested_8x4x4,7,agv_breakdown,A,52,1,21,18,21,0.4038,False,True,False
congested_8x4x4,7,ra_failure,A,52,15,27,33,39,0.75,False,True,True
S8x4x4_high,42,corridor_block,B,90,0,0,15,72,0.8,True,True,True
S8x4x4_high,42,corridor_slowdown,B,90,0,0,15,72,0.8,True,True,True
S8x4x4_high,42,agv_breakdown,A,90,1,39,29,71,0.7889,False,True,True
S8x4x4_high,42,ra_failure,A,90,12,52,59,77,0.8556,False,True,True
S8x4x4_high,7,corridor_block,B,94,0,0,16,83,0.883,True,True,True
S8x4x4_high,7,corridor_slowdown,B,94,0,0,16,83,0.883,True,True,True
S8x4x4_high,7,agv_breakdown,A,94,1,37,28,74,0.7872,False,True,True
S8x4x4_high,7,ra_failure,A,94,12,51,63,86,0.9149,False,True,True
S8x4x4_funnel,42,corridor_block,B,94,0,0,16,79,0.8404,True,True,True
S8x4x4_funnel,42,corridor_slowdown,B,94,0,0,16,79,0.8404,True,True,True
S8x4x4_funnel,42,agv_breakdown,A,94,1,51,31,74,0.7872,False,True,True
S8x4x4_funnel,42,ra_failure,A,94,12,52,59,80,0.8511,False,True,True
S8x4x4_funnel,7,corridor_block,B,95,0,0,16,83,0.8737,True,True,True
S8x4x4_funnel,7,corridor_slowdown,B,95,0,0,16,83,0.8737,True,True,True
S8x4x4_funnel,7,agv_breakdown,A,95,1,38,29,75,0.7895,False,True,True
S8x4x4_funnel,7,ra_failure,A,95,12,52,64,87,0.9158,False,True,True
S8x4x4_mid,42,corridor_block,B,94,0,0,15,72,0.766,True,True,True
S8x4x4_mid,42,corridor_slowdown,B,94,0,0,15,72,0.766,True,True,True
S8x4x4_mid,42,agv_breakdown,A,94,1,29,26,63,0.6702,False,True,True
S8x4x4_mid,42,ra_failure,A,94,12,51,60,81,0.8617,False,True,True
S8x4x4_mid,7,corridor_block,B,93,0,0,18,88,0.9462,True,True,True
S8x4x4_mid,7,corridor_slowdown,B,93,0,0,18,88,0.9462,True,True,True
S8x4x4_mid,7,agv_breakdown,A,93,1,39,28,88,0.9462,False,True,True
S8x4x4_mid,7,ra_failure,A,93,12,54,66,89,0.957,False,True,True
