instance,seed,arm,feasible,makespan,makespan_ref,wall_ms,res_frac,past_changed,past_total,release_size,alive_size,delta
example_3x3x2,42,R2,True,86.0,57.0,1.099,0.643,0,10,18,18,
example_3x3x2,42,RS,True,96.0,57.0,0.652,0.643,0,10,,18,39.0
example_3x3x2,42,RD,True,85.0,57.0,1.223,0.643,0,10,,18,
example_3x3x2,42,RA,True,86.0,57.0,0.998,0.643,0,10,18,18,
example_3x3x2,7,R2,True,82.0,52.0,0.613,0.655,0,10,19,19,
example_3x3x2,7,RS,True,82.0,52.0,0.369,0.655,0,10,,19,30.0
example_3x3x2,7,RD,True,82.0,52.0,0.675,0.655,0,10,,19,
example_3x3x2,7,RA,True,82.0,52.0,0.674,0.655,0,10,19,19,
example_3x3x2,2024,R2,True,98.0,62.0,0.567,0.5,0,15,15,15,
example_3x3x2,2024,RS,True,98.0,62.0,0.357,0.5,0,15,,15,36.0
example_3x3x2,2024,RD,True,98.0,62.0,0.615,0.5,0,15,,15,
example_3x3x2,2024,RA,True,98.0,62.0,0.551,0.5,0,15,15,15,
example_3x3x2,99,R2,True,59.0,48.0,0.599,0.571,0,8,16,20,
example_3x3x2,99,RS,True,79.0,48.0,0.951,0.714,0,8,,20,31.0
example_3x3x2,99,RD,True,58.0,48.0,0.755,0.714,0,8,,20,
example_3x3x2,99,RA,True,60.8,48.0,0.604,0.714,0,8,20,20,
example_3x3x2,123,R2,True,88.0,51.0,0.557,0.643,0,10,16,18,
example_3x3x2,123,RS,True,86.0,51.0,0.342,0.643,0,10,,18,35.0
example_3x3x2,123,RD,True,88.0,51.0,0.579,0.643,0,10,,18,
example_3x3x2,123,RA,True,88.0,51.0,1.101,0.643,0,10,18,18,
example_3x3x2,13,R2,True,62.0,52.0,0.582,0.571,0,9,16,19,
example_3x3x2,13,RS,True,86.0,52.0,0.334,0.679,0,9,,19,34.0
example_3x3x2,13,RD,True,59.2,52.0,0.663,0.571,0,9,,19,
example_3x3x2,13,RA,True,62.0,52.0,0.689,0.571,0,9,19,19,
example_3x3x2,1,R2,True,96.0,57.0,1.032,0.724,0,8,18,21,
example_3x3x2,1,RS,True,94.0,57.0,0.63,0.724,0,8,,21,37.0
example_3x3x2,1,RD,True,96.0,57.0,0.942,0.724,0,8,,21,
example_3x3x2,1,RA,True,96.0,57.0,0.737,0.724,0,8,21,21,
example_3x3x2,777,R2,True,70.0,50.0,0.547,0.621,0,11,18,18,
example_3x3x2,777,RS,True,72.0,50.0,0.35,0.621,0,11,,18,22.0
example_3x3x2,777,RD,True,69.0,50.0,0.563,0.621,0,11,,18,
example_3x3x2,777,RA,True,70.0,50.0,0.56,0.621,0,11,18,18,
example_3x3x2,31415,R2,True,77.0,52.0,0.539,0.536,0,11,15,17,
example_3x3x2,31415,RS,True,80.0,52.0,0.321,0.607,0,11,,17,28.0
example_3x3x2,31415,RD,True,73.0,52.0,0.677,0.607,0,11,,17,
example_3x3x2,31415,RA,True,77.0,52.0,0.645,0.607,0,11,17,17,
example_3x3x2,8,R2,True,66.0,46.0,0.584,0.621,0,11,18,18,
example_3x3x2,8,RS,True,69.0,46.0,0.325,0.621,0,11,,18,23.0
example_3x3x2,8,RD,True,66.0,46.0,0.616,0.621,0,11,,18,
example_3x3x2,8,RA,True,66.0,46.0,0.543,0.621,0,11,18,18,
congested_8x4x4,42,R2,True,298.0,179.0,2.051,0.57,0,32,53,54,
congested_8x4x4,42,RS,True,298.0,179.0,1.013,0.628,0,32,,54,119.0
congested_8x4x4,42,RD,True,298.0,179.0,2.907,0.593,0,32,,54,
congested_8x4x4,42,RA,True,298.0,179.0,1.821,0.57,0,32,54,54,
congested_8x4x4,7,R2,True,300.0,180.0,3.036,0.571,0,39,51,52,
congested_8x4x4,7,RS,True,300.0,180.0,1.715,0.571,0,39,,52,120.0
congested_8x4x4,7,RD,True,317.0,180.0,2.932,0.571,0,39,,52,
congested_8x4x4,7,RA,True,300.0,180.0,1.773,0.571,0,39,52,52,
congested_8x4x4,2024,R2,True,299.0,181.0,2.098,0.578,0,33,48,50,
congested_8x4x4,2024,RS,True,302.0,181.0,0.964,0.602,0,33,,50,121.0
congested_8x4x4,2024,RD,True,290.0,181.0,2.789,0.59,0,33,,50,
congested_8x4x4,2024,RA,True,299.0,181.0,2.546,0.578,0,33,50,50,
