instance,seed,budget_sec,corridor,R0_feasible,R0_makespan,R0_wall_ms,R0_res_frac,R2_feasible,R2_makespan,R2_wall_ms,R2_res_frac,R0_past_changed,R0_past_total,R2_past_changed,R2_past_total,ref_makespan
example_3x3x2,42,0.2,c1|v0,True,67.0,217.4,0.929,True,86.0,0.7,0.643,8,10,0,10,57.0
example_3x3x2,42,1.0,c1|v0,True,67.0,1003.79,0.929,True,86.0,0.7,0.643,8,10,0,10,57.0
example_3x3x2,42,2.0,c1|v0,True,67.0,2007.37,0.929,True,86.0,0.7,0.643,8,10,0,10,57.0
example_3x3x2,7,0.2,c2|r2,True,35.0,211.89,0.966,True,82.0,0.69,0.655,9,10,0,10,52.0
example_3x3x2,7,1.0,c2|r2,True,35.0,1012.02,0.966,True,82.0,0.69,0.655,9,10,0,10,52.0
example_3x3x2,7,2.0,c2|r2,True,35.0,2005.3,0.966,True,82.0,0.69,0.655,9,10,0,10,52.0
example_3x3x2,2024,0.2,c2|r2,True,35.0,219.67,1.0,True,98.0,0.64,0.5,15,15,0,15,62.0
example_3x3x2,2024,1.0,c2|r2,True,34.0,1012.61,1.0,True,98.0,0.64,0.5,15,15,0,15,62.0
example_3x3x2,2024,2.0,c2|r2,True,34.0,2001.6,1.0,True,98.0,0.64,0.5,15,15,0,15,62.0
congested_8x4x4,42,0.2,c1|c2,True,222.0,215.66,1.0,True,298.0,2.18,0.57,32,32,0,32,179.0
congested_8x4x4,42,1.0,c1|c2,True,185.0,1157.22,1.0,True,298.0,2.18,0.57,32,32,0,32,179.0
congested_8x4x4,42,2.0,c1|c2,True,131.0,2138.47,1.0,True,298.0,2.18,0.57,32,32,0,32,179.0
congested_8x4x4,7,0.2,c1|c2,True,234.0,215.69,1.0,True,300.0,2.16,0.571,39,39,0,39,180.0
congested_8x4x4,7,1.0,c1|c2,True,204.0,1181.4,0.989,True,300.0,2.16,0.571,38,39,0,39,180.0
congested_8x4x4,7,2.0,c1|c2,True,204.0,2025.29,0.989,True,300.0,2.16,0.571,38,39,0,39,180.0
congested_8x4x4,2024,0.2,c1|c2,True,208.0,210.69,0.976,True,299.0,1.99,0.578,31,33,0,33,181.0
congested_8x4x4,2024,1.0,c1|c2,True,187.0,1108.86,1.0,True,299.0,1.99,0.578,33,33,0,33,181.0
congested_8x4x4,2024,2.0,c1|c2,True,93.0,2004.87,1.0,True,299.0,1.99,0.578,33,33,0,33,181.0
