instance,seed,corridor,t_now,baseline_mode,budget_sec,budget_honored,R0_stopped_by,arm_r0,R0_feasible,R0_makespan,R0_res_changed,R0_res_total,R0_wall_ms,R0_gens,R0_decodes,R2_feasible,R2_makespan,R2_res_changed,R2_res_total,R2_wall_ms,R2_release,makespan_winner,stability_winner,ref_makespan
congested_8x4x4,42,c1|v0,27.3,ga,0.005,False,budget,R0+,True,116.0,42,72,217.83,1,40,True,124.0,34,72,1.69,30,R0+,R2,78.0
congested_8x4x4,42,c1|v0,27.3,ga,0.02,False,budget,R0+,True,116.0,42,72,218.2,1,40,True,124.0,34,72,1.69,30,R0+,R2,78.0
congested_8x4x4,42,c1|v0,27.3,ga,0.05,False,budget,R0+,True,116.0,42,72,223.1,1,40,True,124.0,34,72,1.69,30,R0+,R2,78.0
congested_8x4x4,42,c1|v0,27.3,ga,0.2,False,budget,R0+,True,116.0,42,72,222.09,1,40,True,124.0,34,72,1.69,30,R0+,R2,78.0
congested_8x4x4,42,c1|v0,27.3,ga,1.0,False,budget,R0+,True,116.0,42,72,1187.76,6,240,True,124.0,34,72,1.69,30,R0+,R2,78.0
congested_8x4x4,42,c1|v0,27.3,ga,2.0,True,budget,R0+,True,107.0,65,72,2075.74,11,440,True,124.0,34,72,1.69,30,R0+,R2,78.0
congested_8x4x4,7,c1|v0,30.1,ga,0.005,False,budget,R0+,True,121.0,29,73,229.55,1,40,True,121.0,22,73,1.65,22,tie,R2,86.0
congested_8x4x4,7,c1|v0,30.1,ga,0.02,False,budget,R0+,True,121.0,29,73,218.83,1,40,True,121.0,22,73,1.65,22,tie,R2,86.0
congested_8x4x4,7,c1|v0,30.1,ga,0.05,False,budget,R0+,True,121.0,29,73,219.3,1,40,True,121.0,22,73,1.65,22,tie,R2,86.0
congested_8x4x4,7,c1|v0,30.1,ga,0.2,True,budget,R0+,True,121.0,29,73,219.34,1,40,True,121.0,22,73,1.65,22,tie,R2,86.0
congested_8x4x4,7,c1|v0,30.1,ga,1.0,True,budget,R0+,True,119.0,61,73,1023.66,5,200,True,121.0,22,73,1.65,22,R0+,R2,86.0
congested_8x4x4,7,c1|v0,30.1,ga,2.0,True,budget,R0+,True,112.0,57,73,2072.39,11,440,True,121.0,22,73,1.65,22,R0+,R2,86.0
congested_8x4x4,2024,c1|v0,26.25,ga,0.005,False,budget,R0+,True,111.0,30,71,216.69,1,40,True,112.0,28,71,1.57,28,R0+,R2,75.0
congested_8x4x4,2024,c1|v0,26.25,ga,0.02,False,budget,R0+,True,111.0,30,71,217.09,1,40,True,112.0,28,71,1.57,28,R0+,R2,75.0
congested_8x4x4,2024,c1|v0,26.25,ga,0.05,False,budget,R0+,True,111.0,30,71,218.52,1,40,True,112.0,28,71,1.57,28,R0+,R2,75.0
congested_8x4x4,2024,c1|v0,26.25,ga,0.2,True,budget,R0+,True,111.0,30,71,218.01,1,40,True,112.0,28,71,1.57,28,R0+,R2,75.0
congested_8x4x4,2024,c1|v0,26.25,ga,1.0,False,budget,R0+,True,111.0,30,71,1141.99,6,240,True,112.0,28,71,1.57,28,R0+,R2,75.0
congested_8x4x4,2024,c1|v0,26.25,ga,2.0,True,budget,R0+,True,106.0,60,71,2113.62,12,480,True,112.0,28,71,1.57,28,R0+,R2,75.0
