instance,seed,corridor,t_now,baseline_mode,budget_sec,budget_honored,R0_stopped_by,arm_r0,R0_feasible,R0_makespan,R0_res_changed,R0_res_total,R0_wall_ms,R0_gens,R0_decodes,R2_feasible,R2_makespan,R2_res_changed,R2_res_total,R2_wall_ms,R2_release,makespan_winner,stability_winner,ref_makespan
example_3x3x2,42,c1|v0,11.9,ga,0.005,False,budget,R0+,True,52.0,22,22,28.17,1,40,True,54.0,12,22,0.55,12,R0+,R2,34.0
example_3x3x2,42,c1|v0,11.9,ga,0.02,False,budget,R0+,True,52.0,22,22,28.69,1,40,True,54.0,12,22,0.55,12,R0+,R2,34.0
example_3x3x2,42,c1|v0,11.9,ga,0.05,False,budget,R0+,True,52.0,22,22,56.26,2,80,True,54.0,12,22,0.55,12,R0+,R2,34.0
example_3x3x2,42,c1|v0,11.9,ga,0.2,False,budget,R0+,True,46.0,22,22,226.11,8,320,True,54.0,12,22,0.55,12,R0+,R2,34.0
example_3x3x2,42,c1|v0,11.9,ga,1.0,True,budget,R0+,True,45.0,22,22,1018.07,34,1360,True,54.0,12,22,0.55,12,R0+,R2,34.0
example_3x3x2,42,c1|v0,11.9,ga,2.0,True,budget,R0+,True,45.0,22,22,2016.22,65,2600,True,54.0,12,22,0.55,12,R0+,R2,34.0
example_3x3x2,7,c1|r1,11.9,ga,0.005,False,budget,R0+,True,41.0,15,23,30.15,1,40,True,41.9,16,23,0.6,14,R0+,R0+,34.0
example_3x3x2,7,c1|r1,11.9,ga,0.02,False,budget,R0+,True,41.0,15,23,29.07,1,40,True,41.9,16,23,0.6,14,R0+,R0+,34.0
example_3x3x2,7,c1|r1,11.9,ga,0.05,False,budget,R0+,True,41.0,15,23,57.13,2,80,True,41.9,16,23,0.6,14,R0+,R0+,34.0
example_3x3x2,7,c1|r1,11.9,ga,0.2,True,budget,R0+,True,40.0,23,23,203.33,8,320,True,41.9,16,23,0.6,14,R0+,R2,34.0
example_3x3x2,7,c1|r1,11.9,ga,1.0,True,budget,R0+,True,39.0,23,23,1024.59,41,1640,True,41.9,16,23,0.6,14,R0+,R2,34.0
example_3x3x2,7,c1|r1,11.9,ga,2.0,True,budget,R0+,True,39.0,23,23,2008.09,79,3160,True,41.9,16,23,0.6,14,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,0.005,False,budget,R0+,True,53.0,20,22,29.06,1,40,True,56.0,12,22,0.63,12,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,0.02,False,budget,R0+,True,53.0,20,22,28.81,1,40,True,56.0,12,22,0.63,12,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,0.05,False,budget,R0+,True,53.0,20,22,59.06,2,80,True,56.0,12,22,0.63,12,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,0.2,False,budget,R0+,True,45.0,21,22,227.19,8,320,True,56.0,12,22,0.63,12,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,1.0,True,budget,R0+,True,45.0,21,22,1012.86,34,1360,True,56.0,12,22,0.63,12,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,2.0,True,budget,R0+,True,45.0,21,22,2012.15,67,2680,True,56.0,12,22,0.63,12,R0+,R2,34.0
