instance,seed,corridor,t_now,baseline_mode,budget_sec,budget_honored,R0_stopped_by,arm_r0,R0_feasible,R0_makespan,R0_res_changed,R0_res_total,R0_wall_ms,R0_gens,R0_decodes,R2_feasible,R2_makespan,R2_res_changed,R2_res_total,R2_wall_ms,R2_release,makespan_winner,stability_winner,ref_makespan
congested_8x4x4,42,c1|c2,62.65,heuristic,0.005,False,budget,R0+,True,237.0,86,86,220.68,1,40,True,301.0,51,86,2.15,53,R0+,R2,179.0
congested_8x4x4,42,c1|c2,62.65,heuristic,0.02,False,budget,R0+,True,237.0,86,86,221.48,1,40,True,301.0,51,86,2.15,53,R0+,R2,179.0
congested_8x4x4,42,c1|c2,62.65,heuristic,0.05,False,budget,R0+,True,237.0,86,86,223.31,1,40,True,301.0,51,86,2.15,53,R0+,R2,179.0
congested_8x4x4,42,c1|c2,62.65,heuristic,0.2,False,budget,R0+,True,237.0,86,86,223.37,1,40,True,301.0,51,86,2.15,53,R0+,R2,179.0
congested_8x4x4,42,c1|c2,62.65,heuristic,1.0,False,budget,R0+,True,194.0,86,86,1165.06,6,240,True,301.0,51,86,2.15,53,R0+,R2,179.0
congested_8x4x4,42,c1|c2,62.65,heuristic,2.0,True,budget,R0+,True,116.0,86,86,2027.37,11,440,True,301.0,51,86,2.15,53,R0+,R2,179.0
congested_8x4x4,7,c1|c2,63.0,heuristic,0.005,False,budget,R0+,True,235.0,91,91,220.12,1,40,True,303.0,54,91,2.25,51,R0+,R2,180.0
congested_8x4x4,7,c1|c2,63.0,heuristic,0.02,False,budget,R0+,True,235.0,91,91,223.27,1,40,True,303.0,54,91,2.25,51,R0+,R2,180.0
congested_8x4x4,7,c1|c2,63.0,heuristic,0.05,False,budget,R0+,True,235.0,91,91,221.89,1,40,True,303.0,54,91,2.25,51,R0+,R2,180.0
congested_8x4x4,7,c1|c2,63.0,heuristic,0.2,False,budget,R0+,True,235.0,91,91,222.27,1,40,True,303.0,54,91,2.25,51,R0+,R2,180.0
congested_8x4x4,7,c1|c2,63.0,heuristic,1.0,True,budget,R0+,True,213.0,91,91,1023.63,5,200,True,303.0,54,91,2.25,51,R0+,R2,180.0
congested_8x4x4,7,c1|c2,63.0,heuristic,2.0,True,budget,R0+,True,201.0,91,91,2089.95,11,440,True,303.0,54,91,2.25,51,R0+,R2,180.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,0.005,False,budget,R0+,True,211.0,81,83,212.4,1,40,True,302.0,49,83,2.01,48,R0+,R2,181.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,0.02,False,budget,R0+,True,211.0,81,83,210.93,1,40,True,302.0,49,83,2.01,48,R0+,R2,181.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,0.05,False,budget,R0+,True,211.0,81,83,211.45,1,40,True,302.0,49,83,2.01,48,R0+,R2,181.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,0.2,True,budget,R0+,True,211.0,81,83,212.74,1,40,True,302.0,49,83,2.01,48,R0+,R2,181.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,1.0,True,budget,R0+,True,100.0,81,83,1008.92,5,200,True,302.0,49,83,2.01,48,R0+,R2,181.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,2.0,True,budget,R0+,True,92.0,82,83,2124.73,13,520,True,302.0,49,83,2.01,48,R0+,R2,181.0
