instance,seed,corridor,t_now,baseline_mode,budget_sec,budget_honored,R0_stopped_by,arm_r0,R0_feasible,R0_makespan,R0_res_changed,R0_res_total,R0_wall_ms,R0_gens,R0_decodes,R2_feasible,R2_makespan,R2_res_changed,R2_res_total,R2_wall_ms,R2_release,makespan_winner,stability_winner,ref_makespan
example_3x3x2,42,c1|v0,19.95,heuristic,0.005,False,budget,R0+,True,62.0,26,28,30.72,1,40,True,87.0,20,28,0.7,16,R0+,R2,57.0
example_3x3x2,42,c1|v0,19.95,heuristic,0.02,False,budget,R0+,True,62.0,26,28,30.17,1,40,True,87.0,20,28,0.7,16,R0+,R2,57.0
example_3x3x2,42,c1|v0,19.95,heuristic,0.05,False,budget,R0+,True,62.0,26,28,59.37,2,80,True,87.0,20,28,0.7,16,R0+,R2,57.0
example_3x3x2,42,c1|v0,19.95,heuristic,0.2,True,budget,R0+,True,62.0,26,28,208.13,7,280,True,87.0,20,28,0.7,16,R0+,R2,57.0
example_3x3x2,42,c1|v0,19.95,heuristic,1.0,True,budget,R0+,True,62.0,26,28,1009.37,35,1400,True,87.0,20,28,0.7,16,R0+,R2,57.0
example_3x3x2,42,c1|v0,19.95,heuristic,2.0,True,budget,R0+,True,62.0,26,28,2016.61,69,2760,True,87.0,20,28,0.7,16,R0+,R2,57.0
example_3x3x2,7,c2|r2,18.2,heuristic,0.005,False,budget,R0+,True,47.0,28,29,31.54,1,40,True,88.0,21,29,0.69,19,R0+,R2,52.0
example_3x3x2,7,c2|r2,18.2,heuristic,0.02,False,budget,R0+,True,47.0,28,29,30.07,1,40,True,88.0,21,29,0.69,19,R0+,R2,52.0
example_3x3x2,7,c2|r2,18.2,heuristic,0.05,False,budget,R0+,True,44.0,26,29,59.04,2,80,True,88.0,21,29,0.69,19,R0+,R2,52.0
example_3x3x2,7,c2|r2,18.2,heuristic,0.2,True,budget,R0+,True,34.0,29,29,206.61,8,320,True,88.0,21,29,0.69,19,R0+,R2,52.0
example_3x3x2,7,c2|r2,18.2,heuristic,1.0,True,budget,R0+,True,34.0,29,29,1012.29,48,1920,True,88.0,21,29,0.69,19,R0+,R2,52.0
example_3x3x2,7,c2|r2,18.2,heuristic,2.0,True,budget,R0+,True,34.0,29,29,2011.75,101,4040,True,88.0,21,29,0.69,19,R0+,R2,52.0
example_3x3x2,2024,c2|r2,21.7,heuristic,0.005,False,budget,R0+,True,45.0,26,30,29.12,1,40,True,104.0,16,30,0.65,15,R0+,R2,62.0
example_3x3x2,2024,c2|r2,21.7,heuristic,0.02,False,budget,R0+,True,45.0,26,30,29.12,1,40,True,104.0,16,30,0.65,15,R0+,R2,62.0
example_3x3x2,2024,c2|r2,21.7,heuristic,0.05,False,budget,R0+,True,43.0,29,30,60.2,2,80,True,104.0,16,30,0.65,15,R0+,R2,62.0
example_3x3x2,2024,c2|r2,21.7,heuristic,0.2,True,budget,R0+,True,35.0,30,30,215.22,8,320,True,104.0,16,30,0.65,15,R0+,R2,62.0
example_3x3x2,2024,c2|r2,21.7,heuristic,1.0,True,budget,R0+,True,34.0,30,30,1000.22,45,1800,True,104.0,16,30,0.65,15,R0+,R2,62.0
example_3x3x2,2024,c2|r2,21.7,heuristic,2.0,True,budget,R0+,True,34.0,30,30,2010.11,94,3760,True,104.0,16,30,0.65,15,R0+,R2,62.0
