instance,seed,corridor,t_now,baseline_mode,budget_sec,budget_honored,R0_stopped_by,arm_r0,R0_feasible,R0_makespan,R0_res_changed,R0_res_total,R0_wall_ms,R0_gens,R0_decodes,R0_past_changed,R0_past_total,R2_feasible,R2_makespan,R2_res_changed,R2_res_total,R2_wall_ms,R2_release,R2_past_changed,R2_past_total,makespan_winner,stability_winner,ref_makespan
congested_8x4x4,42,c1|v0,29.05,ga,0.005,False,budget,R0+,True,114.0,29,77,220.9,1,40,0,35,True,112.0,20,77,1.64,20,0,35,R2,R2,83.0
congested_8x4x4,42,c1|v0,29.05,ga,0.02,False,budget,R0+,True,114.0,29,77,222.04,1,40,0,35,True,112.0,20,77,1.64,20,0,35,R2,R2,83.0
congested_8x4x4,42,c1|v0,29.05,ga,0.05,False,budget,R0+,True,114.0,29,77,221.45,1,40,0,35,True,112.0,20,77,1.64,20,0,35,R2,R2,83.0
congested_8x4x4,42,c1|v0,29.05,ga,0.2,False,budget,R0+,True,114.0,29,77,221.36,1,40,0,35,True,112.0,20,77,1.64,20,0,35,R2,R2,83.0
congested_8x4x4,42,c1|v0,29.05,ga,1.0,True,budget,R0+,True,114.0,29,77,1005.66,5,200,0,35,True,112.0,20,77,1.64,20,0,35,R2,R2,83.0
congested_8x4x4,42,c1|v0,29.05,ga,2.0,False,budget,R0+,True,112.0,60,77,2140.37,11,440,19,35,True,112.0,20,77,1.64,20,0,35,tie,R2,83.0
congested_8x4x4,7,c1|v0,30.1,ga,0.005,False,budget,R0+,True,121.0,29,73,222.55,1,40,0,31,True,121.0,22,73,1.59,22,0,31,tie,R2,86.0
congested_8x4x4,7,c1|v0,30.1,ga,0.02,False,budget,R0+,True,121.0,29,73,224.06,1,40,0,31,True,121.0,22,73,1.59,22,0,31,tie,R2,86.0
congested_8x4x4,7,c1|v0,30.1,ga,0.05,False,budget,R0+,True,121.0,29,73,228.99,1,40,0,31,True,121.0,22,73,1.59,22,0,31,tie,R2,86.0
congested_8x4x4,7,c1|v0,30.1,ga,0.2,False,budget,R0+,True,121.0,29,73,222.07,1,40,0,31,True,121.0,22,73,1.59,22,0,31,tie,R2,86.0
congested_8x4x4,7,c1|v0,30.1,ga,1.0,True,budget,R0+,True,119.0,61,73,1024.78,5,200,19,31,True,121.0,22,73,1.59,22,0,31,R0+,R2,86.0
congested_8x4x4,7,c1|v0,30.1,ga,2.0,False,budget,R0+,True,112.0,57,73,2149.79,11,440,19,31,True,121.0,22,73,1.59,22,0,31,R0+,R2,86.0
congested_8x4x4,2024,c1|v0,26.95,ga,0.005,False,budget,R0+,True,114.0,27,68,225.01,1,40,0,27,True,114.0,27,68,1.59,27,0,27,tie,tie,77.0
congested_8x4x4,2024,c1|v0,26.95,ga,0.02,False,budget,R0+,True,114.0,27,68,223.51,1,40,0,27,True,114.0,27,68,1.59,27,0,27,tie,tie,77.0
congested_8x4x4,2024,c1|v0,26.95,ga,0.05,False,budget,R0+,True,114.0,27,68,247.9,1,40,0,27,True,114.0,27,68,1.59,27,0,27,tie,tie,77.0
congested_8x4x4,2024,c1|v0,26.95,ga,0.2,False,budget,R0+,True,114.0,27,68,225.98,1,40,0,27,True,114.0,27,68,1.59,27,0,27,tie,tie,77.0
congested_8x4x4,2024,c1|v0,26.95,ga,1.0,False,budget,R0+,True,114.0,27,68,1168.04,6,240,0,27,True,114.0,27,68,1.59,27,0,27,tie,tie,77.0
congested_8x4x4,2024,c1|v0,26.95,ga,2.0,True,budget,R0+,True,113.0,64,68,2006.43,11,440,23,27,True,114.0,27,68,1.59,27,0,27,R0+,R2,77.0
