instance,seed,corridor,t_now,baseline_mode,budget_sec,budget_honored,R0_stopped_by,arm_r0,R0_feasible,R0_makespan,R0_res_changed,R0_res_total,R0_wall_ms,R0_gens,R0_decodes,R0_past_changed,R0_past_total,R2_feasible,R2_makespan,R2_res_changed,R2_res_total,R2_wall_ms,R2_release,R2_past_changed,R2_past_total,makespan_winner,stability_winner,ref_makespan
example_3x3x2,42,c1|v0,11.9,ga,0.005,False,budget,R0+,True,52.0,22,22,32.63,1,40,8,8,True,54.0,12,22,0.61,12,0,8,R0+,R2,34.0
example_3x3x2,42,c1|v0,11.9,ga,0.02,False,budget,R0+,True,52.0,22,22,31.06,1,40,8,8,True,54.0,12,22,0.61,12,0,8,R0+,R2,34.0
example_3x3x2,42,c1|v0,11.9,ga,0.05,False,budget,R0+,True,52.0,22,22,64.88,2,80,8,8,True,54.0,12,22,0.61,12,0,8,R0+,R2,34.0
example_3x3x2,42,c1|v0,11.9,ga,0.2,False,budget,R0+,True,46.0,22,22,217.84,7,280,8,8,True,54.0,12,22,0.61,12,0,8,R0+,R2,34.0
example_3x3x2,42,c1|v0,11.9,ga,1.0,True,budget,R0+,True,45.0,22,22,1008.63,29,1160,8,8,True,54.0,12,22,0.61,12,0,8,R0+,R2,34.0
example_3x3x2,42,c1|v0,11.9,ga,2.0,True,budget,R0+,True,45.0,22,22,2016.58,58,2320,8,8,True,54.0,12,22,0.61,12,0,8,R0+,R2,34.0
example_3x3x2,7,c1|r1,11.9,ga,0.005,False,budget,R0+,True,41.0,15,23,30.22,1,40,1,9,True,41.9,16,23,0.59,14,2,9,R0+,R0+,34.0
example_3x3x2,7,c1|r1,11.9,ga,0.02,False,budget,R0+,True,41.0,15,23,29.96,1,40,1,9,True,41.9,16,23,0.59,14,2,9,R0+,R0+,34.0
example_3x3x2,7,c1|r1,11.9,ga,0.05,False,budget,R0+,True,41.0,15,23,59.97,2,80,1,9,True,41.9,16,23,0.59,14,2,9,R0+,R0+,34.0
example_3x3x2,7,c1|r1,11.9,ga,0.2,False,budget,R0+,True,40.0,23,23,220.29,8,320,9,9,True,41.9,16,23,0.59,14,2,9,R0+,R2,34.0
example_3x3x2,7,c1|r1,11.9,ga,1.0,True,budget,R0+,True,39.0,23,23,1015.93,39,1560,9,9,True,41.9,16,23,0.59,14,2,9,R0+,R2,34.0
example_3x3x2,7,c1|r1,11.9,ga,2.0,True,budget,R0+,True,39.0,23,23,2011.63,64,2560,9,9,True,41.9,16,23,0.59,14,2,9,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,0.005,False,budget,R0+,True,53.0,20,22,30.32,1,40,6,8,True,56.0,12,22,0.55,12,0,8,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,0.02,False,budget,R0+,True,53.0,20,22,38.58,1,40,6,8,True,56.0,12,22,0.55,12,0,8,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,0.05,False,budget,R0+,True,53.0,20,22,64.08,2,80,6,8,True,56.0,12,22,0.55,12,0,8,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,0.2,False,budget,R0+,True,47.0,21,22,222.67,6,240,7,8,True,56.0,12,22,0.55,12,0,8,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,1.0,True,budget,R0+,True,45.0,21,22,1007.64,29,1160,7,8,True,56.0,12,22,0.55,12,0,8,R0+,R2,34.0
example_3x3x2,2024,c1|v0,11.9,ga,2.0,True,budget,R0+,True,45.0,21,22,2006.28,58,2320,7,8,True,56.0,12,22,0.55,12,0,8,R0+,R2,34.0
