instance,seed,corridor,t_now,baseline_mode,budget_sec,budget_honored,R0_stopped_by,arm_r0,R0_feasible,R0_makespan,R0_res_changed,R0_res_total,R0_wall_ms,R0_gens,R0_decodes,R0_past_changed,R0_past_total,R2_feasible,R2_makespan,R2_res_changed,R2_res_total,R2_wall_ms,R2_release,R2_past_changed,R2_past_total,makespan_winner,stability_winner,ref_makespan
congested_8x4x4,42,c1|c2,62.65,heuristic,0.005,False,budget,R0+,True,237.0,86,86,278.48,1,40,32,32,True,301.0,51,86,2.27,53,2,32,R0+,R2,179.0
congested_8x4x4,42,c1|c2,62.65,heuristic,0.02,False,budget,R0+,True,237.0,86,86,246.95,1,40,32,32,True,301.0,51,86,2.27,53,2,32,R0+,R2,179.0
congested_8x4x4,42,c1|c2,62.65,heuristic,0.05,False,budget,R0+,True,237.0,86,86,263.0,1,40,32,32,True,301.0,51,86,2.27,53,2,32,R0+,R2,179.0
congested_8x4x4,42,c1|c2,62.65,heuristic,0.2,False,budget,R0+,True,237.0,86,86,235.21,1,40,32,32,True,301.0,51,86,2.27,53,2,32,R0+,R2,179.0
congested_8x4x4,42,c1|c2,62.65,heuristic,1.0,False,budget,R0+,True,204.0,86,86,1168.16,5,200,32,32,True,301.0,51,86,2.27,53,2,32,R0+,R2,179.0
congested_8x4x4,42,c1|c2,62.65,heuristic,2.0,False,budget,R0+,True,116.0,86,86,2158.69,11,440,32,32,True,301.0,51,86,2.27,53,2,32,R0+,R2,179.0
congested_8x4x4,7,c1|c2,63.0,heuristic,0.005,False,budget,R0+,True,235.0,91,91,400.83,1,40,39,39,True,303.0,54,91,2.69,51,2,39,R0+,R2,180.0
congested_8x4x4,7,c1|c2,63.0,heuristic,0.02,False,budget,R0+,True,235.0,91,91,311.74,1,40,39,39,True,303.0,54,91,2.69,51,2,39,R0+,R2,180.0
congested_8x4x4,7,c1|c2,63.0,heuristic,0.05,False,budget,R0+,True,235.0,91,91,226.55,1,40,39,39,True,303.0,54,91,2.69,51,2,39,R0+,R2,180.0
congested_8x4x4,7,c1|c2,63.0,heuristic,0.2,False,budget,R0+,True,235.0,91,91,232.64,1,40,39,39,True,303.0,54,91,2.69,51,2,39,R0+,R2,180.0
congested_8x4x4,7,c1|c2,63.0,heuristic,1.0,True,budget,R0+,True,213.0,91,91,1039.36,5,200,39,39,True,303.0,54,91,2.69,51,2,39,R0+,R2,180.0
congested_8x4x4,7,c1|c2,63.0,heuristic,2.0,False,budget,R0+,True,204.0,91,91,2150.4,9,360,39,39,True,303.0,54,91,2.69,51,2,39,R0+,R2,180.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,0.005,False,budget,R0+,True,211.0,81,83,234.26,1,40,31,33,True,302.0,49,83,2.39,48,1,33,R0+,R2,181.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,0.02,False,budget,R0+,True,211.0,81,83,378.14,1,40,31,33,True,302.0,49,83,2.39,48,1,33,R0+,R2,181.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,0.05,False,budget,R0+,True,211.0,81,83,313.27,1,40,31,33,True,302.0,49,83,2.39,48,1,33,R0+,R2,181.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,0.2,False,budget,R0+,True,211.0,81,83,276.13,1,40,31,33,True,302.0,49,83,2.39,48,1,33,R0+,R2,181.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,1.0,False,budget,R0+,True,100.0,81,83,1060.86,5,200,31,33,True,302.0,49,83,2.39,48,1,33,R0+,R2,181.0
congested_8x4x4,2024,c1|c2,63.35,heuristic,2.0,True,budget,R0+,True,100.0,81,83,2015.46,10,400,31,33,True,302.0,49,83,2.39,48,1,33,R0+,R2,181.0
