instance,seed,delay,n_closed,n_alive,n_delay_leaks,n_abut,n_near_miss,n_same_agv_leaks
example_3x3x2,42,1.0,18,18,0,0,0,0
example_3x3x2,7,1.0,19,19,0,0,0,0
example_3x3x2,2024,1.0,15,15,0,0,0,0
example_3x3x2,99,1.0,16,20,0,0,0,0
example_3x3x2,123,1.0,16,18,0,0,0,0
example_3x3x2,13,1.0,16,19,0,0,0,0
example_3x3x2,1,1.0,18,21,0,0,0,0
example_3x3x2,777,1.0,18,18,0,0,0,0
example_3x3x2,31415,1.0,15,17,0,0,0,0
example_3x3x2,8,1.0,18,18,0,0,0,0
congested_8x4x4,42,1.0,53,54,0,0,0,0
congested_8x4x4,7,1.0,51,52,0,0,0,0
congested_8x4x4,2024,1.0,48,50,0,0,0,0
congested_8x4x4,99,1.0,46,50,0,0,0,0
congested_8x4x4,123,1.0,48,55,0,0,0,0
congested_8x4x4,13,1.0,41,46,0,0,0,0
congested_8x4x4,1,1.0,51,54,0,0,0,0
congested_8x4x4,777,1.0,47,49,0,0,0,0
congested_8x4x4,31415,1.0,47,51,0,0,0,0
congested_8x4x4,8,1.0,52,54,0,0,0,0
S8x4x4_high,42,1.0,79,90,0,0,3,0
S8x4x4_high,7,1.0,83,94,0,0,1,0
S8x4x4_high,2024,1.0,98,111,0,0,0,0
S8x4x4_high,99,1.0,87,92,0,0,0,0
S8x4x4_high,123,1.0,82,86,0,0,0,0
S8x4x4_high,13,1.0,87,96,0,0,1,0
S8x4x4_high,1,1.0,101,101,0,0,0,0
S8x4x4_high,777,1.0,87,95,0,0,0,0
S8x4x4_high,31415,1.0,87,88,0,0,0,0
S8x4x4_high,8,1.0,92,96,0,0,0,0
S8x4x4_funnel,42,1.0,85,94,0,0,0,0
S8x4x4_funnel,7,1.0,86,95,0,0,0,0
S8x4x4_funnel,2024,1.0,98,111,0,0,0,0
S8x4x4_funnel,99,1.0,87,92,0,0,0,0
S8x4x4_funnel,123,1.0,79,86,0,0,0,0
S8x4x4_funnel,13,1.0,78,96,0,0,0,0
S8x4x4_funnel,1,1.0,101,102,0,0,0,0
S8x4x4_funnel,777,1.0,87,95,0,0,0,0
S8x4x4_funnel,31415,1.0,74,85,0,0,0,0
S8x4x4_funnel,8,1.0,79,91,0,0,0,0
S8x4x4_mid,42,1.0,80,94,0,0,0,0
S8x4x4_mid,7,1.0,88,93,0,0,1,0
S8x4x4_mid,2024,1.0,83,96,0,0,0,0
S8x4x4_mid,99,1.0,81,86,0,0,0,0
S8x4x4_mid,123,1.0,80,86,0,0,0,0
S8x4x4_mid,13,1.0,83,91,0,0,1,0
S8x4x4_mid,1,1.0,91,106,0,0,1,0
S8x4x4_mid,777,1.0,84,88,0,0,0,0
S8x4x4_mid,31415,1.0,73,85,0,0,0,0
S8x4x4_mid,8,1.0,85,91,0,0,0,0
