instance,seed,corridor,n_reservations,n_T_impact,n_seeds,n_closure,closure_frac,feasible_after_block,structural_leaks,pass_C1,ref_makespan
example_3x3x2,42,c1|v0,28,0,6,16,0.5714,False,0,True,57.0
example_3x3x2,7,c2|r2,29,0,7,19,0.6552,False,0,True,52.0
example_3x3x2,2024,c2|r2,30,0,5,15,0.5,False,0,True,62.0
example_3x3x2,99,c1|c2,28,0,6,16,0.5714,False,0,True,48.0
example_3x3x2,123,c1|v0,28,0,5,16,0.5714,False,0,True,51.0
example_3x3x2,13,c1|c2,28,0,6,16,0.5714,False,0,True,52.0
example_3x3x2,1,c1|v0,29,0,6,18,0.6207,False,0,True,57.0
example_3x3x2,777,c2|r2,29,0,4,18,0.6207,False,0,True,50.0
example_3x3x2,31415,c2|r2,28,0,5,15,0.5357,False,0,True,52.0
example_3x3x2,8,c2|r2,29,0,6,18,0.6207,False,0,True,46.0
congested_8x4x4,42,c1|c2,86,0,16,53,0.6163,False,0,True,179.0
congested_8x4x4,7,c1|c2,91,0,16,51,0.5604,False,0,True,180.0
congested_8x4x4,2024,c1|c2,83,0,14,48,0.5783,False,0,True,181.0
congested_8x4x4,99,c1|c2,81,0,14,46,0.5679,False,0,True,170.0
congested_8x4x4,123,c1|c2,88,0,16,48,0.5455,False,0,True,177.0
congested_8x4x4,13,c1|c2,76,0,12,41,0.5395,False,0,True,169.0
congested_8x4x4,1,c1|c2,88,0,16,51,0.5795,False,0,True,176.0
congested_8x4x4,777,c1|c2,81,0,14,47,0.5802,False,0,True,167.0
congested_8x4x4,31415,c1|v0,87,0,16,46,0.5287,False,0,True,183.0
congested_8x4x4,8,c1|c2,89,0,16,52,0.5843,False,0,True,176.0
S8x4x4_high,42,h1|r1,140,0,15,72,0.5143,False,0,True,109.0
S8x4x4_high,7,h1|r1,150,0,16,83,0.5533,False,0,True,126.0
S8x4x4_high,2024,h1|r1,165,0,17,90,0.5455,False,0,True,120.0
S8x4x4_high,99,h1|r1,147,0,16,87,0.5918,False,0,True,114.0
S8x4x4_high,123,h1|r1,147,0,14,82,0.5578,False,0,True,115.0
S8x4x4_high,13,h1|r1,138,0,15,86,0.6232,False,0,True,107.0
S8x4x4_high,1,h2|r3,158,0,17,99,0.6266,False,0,True,124.0
S8x4x4_high,777,g1|h2,154,0,15,86,0.5584,False,0,True,116.0
S8x4x4_high,31415,g1|h2,155,0,15,82,0.529,False,0,True,120.0
S8x4x4_high,8,e1|h1,151,0,15,92,0.6093,False,0,True,116.0
S8x4x4_funnel,42,e1|h1,143,0,16,79,0.5524,False,0,True,110.0
S8x4x4_funnel,7,h1|r1,150,0,16,83,0.5533,False,0,True,127.0
S8x4x4_funnel,2024,h1|r1,165,0,17,90,0.5455,False,0,True,121.0
S8x4x4_funnel,99,h1|r1,147,0,16,87,0.5918,False,0,True,115.0
S8x4x4_funnel,123,h1|r1,146,0,14,79,0.5411,False,0,True,119.0
S8x4x4_funnel,13,e1|h1,138,0,16,77,0.558,False,0,True,107.0
S8x4x4_funnel,1,h2|r3,158,0,17,99,0.6266,False,0,True,125.0
S8x4x4_funnel,777,g1|h2,154,0,15,86,0.5584,False,0,True,118.0
S8x4x4_funnel,31415,e1|v0,148,0,14,66,0.4459,False,0,True,117.0
S8x4x4_funnel,8,e1|h1,142,0,14,75,0.5282,False,0,True,112.0
S8x4x4_mid,42,h1|r1,148,0,15,72,0.4865,False,0,True,107.0
S8x4x4_mid,7,h1|r1,156,0,18,88,0.5641,False,0,True,122.0
S8x4x4_mid,2024,h1|r1,151,0,17,78,0.5166,False,0,True,105.0
S8x4x4_mid,99,h1|r1,145,0,13,81,0.5586,False,0,True,106.0
S8x4x4_mid,123,h1|r1,144,0,14,80,0.5556,False,0,True,101.0
S8x4x4_mid,13,h1|r1,134,0,15,82,0.6119,False,0,True,102.0
S8x4x4_mid,1,e1|h1,158,0,16,87,0.5506,False,0,True,119.0
S8x4x4_mid,777,e1|h1,146,0,14,82,0.5616,False,0,True,109.0
S8x4x4_mid,31415,e1|v0,146,0,13,67,0.4589,False,0,True,103.0
S8x4x4_mid,8,h1|r1,148,0,15,85,0.5743,False,0,True,105.0
