instance,seed,corridor,R1_release,R2_release,R1_feasible,R2_feasible,R1_makespan,R2_makespan,R1_wall_ms,R2_wall_ms,miss_on_B,quality_winner
example_3x3x2,42,c1|v0,0,18,False,True,57.0,86.0,0.36,1.08,True,R2
example_3x3x2,7,c2|r2,0,19,False,True,52.0,82.0,0.54,0.82,True,R2
example_3x3x2,2024,c2|r2,0,15,False,True,62.0,98.0,0.54,0.77,True,R2
example_3x3x2,99,c1|c2,0,16,False,True,48.0,59.0,0.37,0.55,True,R2
example_3x3x2,123,c1|v0,0,16,False,True,51.0,88.0,0.39,0.51,True,R2
example_3x3x2,13,c1|c2,0,16,False,True,52.0,62.0,0.45,0.6,True,R2
example_3x3x2,1,c1|v0,0,18,False,True,57.0,96.0,0.37,0.6,True,R2
example_3x3x2,777,c2|r2,0,18,False,True,50.0,70.0,0.37,0.52,True,R2
example_3x3x2,31415,c2|r2,0,15,False,True,52.0,77.0,0.59,0.54,True,R2
example_3x3x2,8,c2|r2,0,18,False,True,46.0,66.0,0.38,0.61,True,R2
congested_8x4x4,42,c1|c2,0,53,False,True,179.0,298.0,1.11,2.78,True,R2
congested_8x4x4,7,c1|c2,0,51,False,True,180.0,300.0,2.01,3.27,True,R2
congested_8x4x4,2024,c1|c2,0,48,False,True,181.0,299.0,1.4,3.41,True,R2
congested_8x4x4,99,c1|c2,0,46,False,True,170.0,280.0,1.38,2.28,True,R2
congested_8x4x4,123,c1|c2,0,48,False,True,177.0,294.0,1.16,3.68,True,R2
congested_8x4x4,13,c1|c2,0,41,False,True,169.0,273.0,1.6,2.37,True,R2
congested_8x4x4,1,c1|c2,0,51,False,True,176.0,292.0,1.31,3.33,True,R2
congested_8x4x4,777,c1|c2,0,47,False,True,167.0,270.0,2.29,1.66,True,R2
congested_8x4x4,31415,c1|v0,0,47,False,True,183.0,282.0,1.97,3.43,True,R2
congested_8x4x4,8,c1|c2,0,52,False,True,176.0,292.0,2.27,2.17,True,R2
S8x4x4_high,42,h1|r1,0,79,False,True,109.0,162.0,1.53,2.51,True,R2
S8x4x4_high,7,h1|r1,0,83,False,True,126.0,175.0,1.73,2.59,True,R2
S8x4x4_high,2024,h1|r1,0,98,False,True,120.0,184.0,1.72,2.91,True,R2
S8x4x4_high,99,h1|r1,0,87,False,True,114.0,188.0,2.14,3.07,True,R2
S8x4x4_high,123,h1|r1,0,82,False,True,115.0,165.0,1.6,3.59,True,R2
S8x4x4_high,13,h1|r1,0,87,False,True,107.0,168.0,2.45,4.04,True,R2
S8x4x4_high,1,h2|r3,0,101,False,True,124.0,194.0,3.03,5.03,True,R2
S8x4x4_high,777,g1|h2,0,87,False,True,116.0,190.0,2.46,2.91,True,R2
S8x4x4_high,31415,g1|h2,0,87,False,True,120.0,193.0,2.68,3.43,True,R2
S8x4x4_high,8,e1|h1,0,92,False,True,116.0,116.0,2.5,3.9,True,R2
S8x4x4_funnel,42,e1|h1,0,85,False,True,110.0,174.0,3.4,2.56,True,R2
S8x4x4_funnel,7,h1|r1,0,86,False,True,127.0,176.0,1.58,5.2,True,R2
S8x4x4_funnel,2024,h1|r1,0,98,False,True,121.0,185.0,3.29,5.24,True,R2
S8x4x4_funnel,99,h1|r1,0,87,False,True,115.0,189.0,2.98,4.8,True,R2
S8x4x4_funnel,123,h1|r1,0,79,False,True,119.0,161.0,2.96,4.6,True,R2
S8x4x4_funnel,13,e1|h1,0,78,False,True,107.0,164.0,1.65,4.44,True,R2
S8x4x4_funnel,1,h2|r3,0,101,False,True,125.0,195.0,2.41,4.37,True,R2
S8x4x4_funnel,777,g1|h2,0,87,False,True,118.0,191.0,3.34,12.82,True,R2
S8x4x4_funnel,31415,e1|v0,0,74,False,True,117.0,173.0,5.27,3.92,True,R2
S8x4x4_funnel,8,e1|h1,0,79,False,True,112.0,175.0,2.82,2.93,True,R2
S8x4x4_mid,42,h1|r1,0,80,False,True,107.0,161.0,1.95,2.73,True,R2
S8x4x4_mid,7,h1|r1,0,88,False,True,122.0,172.0,1.72,3.13,True,R2
S8x4x4_mid,2024,h1|r1,0,83,False,True,105.0,162.0,3.01,6.16,True,R2
S8x4x4_mid,99,h1|r1,0,81,False,True,106.0,174.0,2.71,4.73,True,R2
S8x4x4_mid,123,h1|r1,0,80,False,True,101.0,141.0,5.84,3.2,True,R2
S8x4x4_mid,13,h1|r1,0,83,False,True,102.0,156.0,2.2,2.9,True,R2
S8x4x4_mid,1,e1|h1,0,91,False,True,119.0,119.0,2.82,4.64,True,R2
S8x4x4_mid,777,e1|h1,0,84,False,True,109.0,110.15,2.88,4.42,True,R2
S8x4x4_mid,31415,e1|v0,0,73,False,True,103.0,103.0,2.25,3.54,True,R2
S8x4x4_mid,8,h1|r1,0,85,False,True,105.0,161.0,3.1,4.14,True,R2
