instance,seed,budget_sec,corridor,R0_feasible,R0_makespan,R0_wall_ms,R0_res_frac,R2_feasible,R2_makespan,R2_wall_ms,R2_res_frac,ref_makespan
example_3x3x2,42,0.2,c1|v0,True,67.0,213.6,0.929,True,86.0,0.66,0.643,57.0
example_3x3x2,42,1.0,c1|v0,True,67.0,1028.35,0.929,True,86.0,0.66,0.643,57.0
example_3x3x2,42,2.0,c1|v0,True,67.0,2013.94,0.929,True,86.0,0.66,0.643,57.0
example_3x3x2,7,0.2,c2|r2,True,35.0,213.64,0.966,True,82.0,0.7,0.655,52.0
example_3x3x2,7,1.0,c2|r2,True,35.0,1023.56,0.966,True,82.0,0.7,0.655,52.0
example_3x3x2,7,2.0,c2|r2,True,35.0,2006.3,0.966,True,82.0,0.7,0.655,52.0
example_3x3x2,2024,0.2,c2|r2,True,35.0,221.73,1.0,True,98.0,0.66,0.5,62.0
example_3x3x2,2024,1.0,c2|r2,True,34.0,1007.17,1.0,True,98.0,0.66,0.5,62.0
example_3x3x2,2024,2.0,c2|r2,True,34.0,2006.75,1.0,True,98.0,0.66,0.5,62.0
congested_8x4x4,42,0.2,c1|c2,True,222.0,240.11,1.0,True,298.0,2.71,0.57,179.0
congested_8x4x4,42,1.0,c1|c2,True,204.0,1011.56,1.0,True,298.0,2.71,0.57,179.0
congested_8x4x4,42,2.0,c1|c2,True,131.0,2006.54,1.0,True,298.0,2.71,0.57,179.0
congested_8x4x4,7,0.2,c1|c2,True,234.0,218.22,1.0,True,300.0,2.18,0.571,180.0
congested_8x4x4,7,1.0,c1|c2,True,204.0,1003.82,0.989,True,300.0,2.18,0.571,180.0
congested_8x4x4,7,2.0,c1|c2,True,204.0,2053.05,0.989,True,300.0,2.18,0.571,180.0
congested_8x4x4,2024,0.2,c1|c2,True,208.0,214.81,0.976,True,299.0,2.0,0.578,181.0
congested_8x4x4,2024,1.0,c1|c2,True,187.0,1119.13,1.0,True,299.0,2.0,0.578,181.0
congested_8x4x4,2024,2.0,c1|c2,True,93.0,2035.74,1.0,True,299.0,2.0,0.578,181.0
