instance,seed,phi,n_affected_ops,n_future_ops,n_closure,strc_feasible,strc_makespan,strc_wall_ms,strc_scope_rounds,r0_feasible,r0_makespan,r0_wall_ms,speedup,ref_makespan
example_3x3x2,42,0.1,1,5,7,True,57.0,0.78,0,True,34.0,2012.22,2582.7,57.0
example_3x3x2,42,0.25,2,5,18,True,61.0,1.2,0,True,36.0,2002.13,1664.3,57.0
example_3x3x2,42,0.5,3,5,18,True,63.0,1.26,0,True,38.0,2011.62,1598.3,57.0
example_3x3x2,42,0.75,4,5,18,True,63.0,1.52,0,True,38.0,2020.99,1330.4,57.0
example_3x3x2,42,1.0,5,5,18,True,66.0,2.1,0,True,38.0,2003.43,955.4,57.0
example_3x3x2,7,0.1,1,6,19,True,54.0,0.7,0,True,34.0,2022.08,2895.3,52.0
example_3x3x2,7,0.25,2,6,19,True,57.0,0.94,0,True,34.0,2003.82,2122.9,52.0
example_3x3x2,7,0.5,3,6,19,True,64.0,1.09,0,True,34.0,2009.13,1835.0,52.0
example_3x3x2,7,0.75,5,6,19,True,64.0,1.39,0,True,34.0,2006.7,1446.7,52.0
example_3x3x2,7,1.0,6,6,19,True,65.0,1.74,0,True,34.0,2023.39,1162.3,52.0
example_3x3x2,2024,0.1,1,5,12,True,64.0,2.55,3,True,34.0,2015.91,789.0,62.0
example_3x3x2,2024,0.25,2,5,12,True,64.0,3.03,3,True,35.0,2022.0,666.8,62.0
example_3x3x2,2024,0.5,3,5,15,True,65.0,1.0,0,True,34.0,2016.46,2016.3,62.0
example_3x3x2,2024,0.75,4,5,15,True,66.0,1.13,0,True,34.0,2009.99,1771.9,62.0
example_3x3x2,2024,1.0,5,5,15,True,71.0,1.57,0,True,35.0,2020.86,1289.4,62.0
example_3x3x2,99,0.1,1,6,6,True,50.0,2.4,3,True,34.0,2017.23,839.1,48.0
example_3x3x2,99,0.25,2,6,20,True,53.0,1.33,0,True,34.0,2001.13,1503.3,48.0
example_3x3x2,99,0.5,3,6,20,True,53.0,1.2,0,True,34.0,2018.58,1678.1,48.0
example_3x3x2,99,0.75,5,6,20,True,57.0,1.42,0,True,36.0,2015.91,1420.9,48.0
example_3x3x2,99,1.0,6,6,20,True,58.0,1.81,0,True,40.0,2007.37,1106.6,48.0
example_3x3x2,123,0.1,1,6,15,True,53.0,0.98,0,True,34.0,2004.23,2055.4,51.0
example_3x3x2,123,0.25,2,6,18,True,53.0,0.87,0,True,34.0,2020.1,2315.0,51.0
example_3x3x2,123,0.5,3,6,18,True,54.0,1.0,0,True,34.0,2021.22,2012.2,51.0
example_3x3x2,123,0.75,5,6,18,True,55.0,1.49,0,True,34.0,2022.74,1353.9,51.0
example_3x3x2,123,1.0,6,6,18,True,57.0,1.59,0,True,34.0,2005.97,1264.0,51.0
example_3x3x2,13,0.1,1,5,14,True,53.0,0.88,0,True,34.0,2004.15,2272.0,52.0
example_3x3x2,13,0.25,2,5,19,True,54.0,1.05,0,True,34.0,2024.96,1922.9,52.0
example_3x3x2,13,0.5,3,5,19,True,55.0,1.23,0,True,37.0,2019.17,1638.7,52.0
example_3x3x2,13,0.75,4,5,19,True,56.0,1.35,0,True,40.0,2017.18,1491.1,52.0
example_3x3x2,13,1.0,5,5,19,True,61.0,1.77,0,True,42.0,2014.58,1138.8,52.0
example_3x3x2,1,0.1,1,6,18,True,64.0,0.85,0,True,34.0,2020.6,2371.0,57.0
example_3x3x2,1,0.25,2,6,21,True,66.0,1.09,0,True,36.0,2012.11,1847.8,57.0
example_3x3x2,1,0.5,3,6,21,True,67.0,1.3,0,True,38.0,2018.42,1556.2,57.0
example_3x3x2,1,0.75,5,6,21,True,67.0,1.85,0,True,36.0,2011.66,1089.9,57.0
example_3x3x2,1,1.0,6,6,21,True,67.0,1.93,0,True,36.0,2021.14,1046.7,57.0
