instance,seed,corridor,n_reservations,n_T_impact,n_seeds,n_closure,closure_frac,feasible_after_block,structural_leaks,pass_C1,ref_makespan
LyuL2_4m,42,g1|g2,120,0,12,62,0.5167,False,0,True,135.0
LyuL2_4m,7,g2|g3,146,0,11,89,0.6096,False,0,True,147.0
LyuL2_4m,2024,g10|g11,138,0,9,69,0.5,False,0,True,131.0
LyuL2_4m,99,g1|g2,122,0,9,38,0.3115,False,0,True,146.0
LyuL2_4m,123,g4|g8,130,0,8,75,0.5769,False,0,True,140.0
LyuL2_4m,13,g3|g4,122,0,11,59,0.4836,False,0,True,148.0
LyuL2_4m,1,g1|g2,140,0,13,83,0.5929,False,0,True,158.0
LyuL2_4m,777,g1|g2,128,0,11,78,0.6094,False,0,True,142.0
LyuL2_4m,31415,g1|g2,142,0,11,72,0.507,False,0,True,147.0
LyuL2_4m,8,g3|g4,133,0,10,83,0.6241,False,0,True,143.0
LyuL3_5m,42,g5|g9,112,0,11,37,0.3304,False,0,True,118.0
LyuL3_5m,7,g5|g9,120,0,9,41,0.3417,False,0,True,134.0
LyuL3_5m,2024,g10|g6,116,0,10,63,0.5431,False,0,True,140.0
LyuL3_5m,99,g5|g9,106,0,9,28,0.2642,False,0,True,114.0
LyuL3_5m,123,g10|g14,120,0,9,57,0.475,False,0,True,123.0
LyuL3_5m,13,g10|g6,96,0,7,43,0.4479,False,0,True,127.0
LyuL3_5m,1,g5|g9,116,0,9,56,0.4828,False,0,True,133.0
LyuL3_5m,777,g5|g9,120,0,11,61,0.5083,False,0,True,120.0
LyuL3_5m,31415,g10|g14,124,0,9,53,0.4274,False,0,True,124.0
LyuL3_5m,8,g10|g14,114,0,9,46,0.4035,False,0,True,121.0
LyuL4_6m,42,g2|g3,148,0,13,80,0.5405,False,0,True,152.0
LyuL4_6m,7,g2|g3,156,0,9,64,0.4103,False,0,True,149.0
LyuL4_6m,2024,g2|g3,168,0,13,88,0.5238,False,0,True,149.0
LyuL4_6m,99,g1|g2,134,0,9,41,0.306,False,0,True,155.0
LyuL4_6m,123,g2|g3,170,0,12,83,0.4882,False,0,True,153.0
LyuL4_6m,13,g2|g3,144,0,11,75,0.5208,False,0,True,154.0
LyuL4_6m,1,g2|g3,167,0,12,80,0.479,False,0,True,173.0
LyuL4_6m,777,g1|g2,152,0,11,83,0.5461,False,0,True,156.0
LyuL4_6m,31415,g2|g3,156,0,13,76,0.4872,False,0,True,151.0
LyuL4_6m,8,g3|g4,154,0,10,84,0.5455,False,0,True,148.0
LyuL5_7m,42,g2|g3,178,0,10,88,0.4944,False,0,True,176.0
LyuL5_7m,7,g1|g2,192,0,11,110,0.5729,False,0,True,173.0
LyuL5_7m,2024,g3|g4,186,0,11,95,0.5108,False,0,True,169.0
LyuL5_7m,99,g3|g4,186,0,11,100,0.5376,False,0,True,169.0
LyuL5_7m,123,g2|g3,194,0,10,111,0.5722,False,0,True,183.0
LyuL5_7m,13,g10|g15,170,0,9,75,0.4412,False,0,True,191.0
LyuL5_7m,1,g3|g4,202,0,13,108,0.5347,False,0,True,179.0
LyuL5_7m,777,g3|g4,168,0,13,80,0.4762,False,0,True,178.0
LyuL5_7m,31415,g3|g4,168,0,13,91,0.5417,False,0,True,178.0
LyuL5_7m,8,g1|g2,174,0,9,53,0.3046,False,0,True,166.0
LyuL6_8m,42,g12|g13,144,0,10,88,0.6111,False,0,True,136.0
LyuL6_8m,7,g1|g2,134,0,10,62,0.4627,False,0,True,158.0
LyuL6_8m,2024,g12|g13,130,0,10,70,0.5385,False,0,True,135.0
LyuL6_8m,99,g12|g13,138,0,10,67,0.4855,False,0,True,141.0
LyuL6_8m,123,g12|g13,164,0,13,92,0.561,False,0,True,155.0
LyuL6_8m,13,g12|g13,140,0,11,77,0.55,False,0,True,148.0
LyuL6_8m,1,g12|g13,138,0,12,66,0.4783,False,0,True,141.0
LyuL6_8m,777,g12|g13,132,0,12,82,0.6212,False,0,True,130.0
LyuL6_8m,31415,g12|g13,134,0,12,61,0.4552,False,0,True,143.0
LyuL6_8m,8,g12|g13,148,0,8,66,0.4459,False,0,True,143.0
