instance,seed,corridor,structural_leaks,feasible,makespan,ref_makespan,wall_ms,outside_changes,pass_E2a,pass_E2b
LyuL2_4m,42,g1|g2,0,True,156.0,135.0,3.65,0,True,True
LyuL2_4m,7,g2|g3,0,True,167.45,147.0,4.07,0,True,True
LyuL2_4m,2024,g10|g11,0,True,143.0,131.0,3.69,0,True,True
LyuL2_4m,99,g1|g2,0,True,149.0,146.0,2.85,0,True,True
LyuL2_4m,123,g4|g8,0,True,164.0,140.0,3.69,0,True,True
LyuL2_4m,13,g3|g4,0,True,154.0,148.0,3.27,0,True,True
LyuL2_4m,1,g1|g2,0,True,188.3,158.0,4.1,0,True,True
LyuL2_4m,777,g1|g2,0,True,158.0,142.0,3.9,0,True,True
LyuL2_4m,31415,g1|g2,0,True,158.45,147.0,3.62,0,True,True
LyuL2_4m,8,g3|g4,0,True,157.0,143.0,3.75,0,True,True
LyuL3_5m,42,g5|g9,0,True,133.0,118.0,2.75,0,True,True
LyuL3_5m,7,g5|g9,0,True,140.0,134.0,3.08,0,True,True
LyuL3_5m,2024,g10|g6,0,True,146.0,140.0,3.13,0,True,True
LyuL3_5m,99,g5|g9,0,True,125.0,114.0,2.53,0,True,True
LyuL3_5m,123,g10|g14,0,True,132.05,123.0,3.38,0,True,True
LyuL3_5m,13,g10|g6,0,True,133.0,127.0,2.42,0,True,True
LyuL3_5m,1,g5|g9,0,True,139.0,133.0,3.34,0,True,True
LyuL3_5m,777,g5|g9,0,True,142.0,120.0,3.55,0,True,True
LyuL3_5m,31415,g10|g14,0,True,124.0,124.0,3.11,0,True,True
LyuL3_5m,8,g10|g14,0,True,121.0,121.0,2.57,0,True,True
LyuL4_6m,42,g2|g3,0,True,167.2,152.0,4.36,0,True,True
LyuL4_6m,7,g2|g3,0,True,152.0,149.0,3.95,0,True,True
LyuL4_6m,2024,g2|g3,0,True,153.0,149.0,5.77,0,True,True
LyuL4_6m,99,g1|g2,0,True,174.0,155.0,3.29,0,True,True
LyuL4_6m,123,g2|g3,0,True,163.55,153.0,4.47,0,True,True
LyuL4_6m,13,g2|g3,0,True,169.9,154.0,3.97,0,True,True
LyuL4_6m,1,g2|g3,0,True,183.0,173.0,4.57,0,True,True
LyuL4_6m,777,g1|g2,0,True,175.0,156.0,4.62,0,True,True
LyuL4_6m,31415,g2|g3,0,True,165.0,151.0,5.79,0,True,True
LyuL4_6m,8,g3|g4,0,True,150.0,148.0,4.27,0,True,True
LyuL5_7m,42,g2|g3,0,True,186.0,176.0,5.14,0,True,True
LyuL5_7m,7,g1|g2,0,True,186.55,173.0,5.87,0,True,True
LyuL5_7m,2024,g3|g4,0,True,172.0,169.0,5.05,0,True,True
LyuL5_7m,99,g3|g4,0,True,169.0,169.0,5.25,0,True,True
LyuL5_7m,123,g2|g3,0,True,183.05,183.0,5.7,0,True,True
LyuL5_7m,13,g10|g15,0,True,195.0,191.0,4.22,0,True,True
LyuL5_7m,1,g3|g4,0,True,184.0,179.0,5.64,0,True,True
LyuL5_7m,777,g3|g4,0,True,182.0,178.0,4.54,0,True,True
LyuL5_7m,31415,g3|g4,0,True,180.0,178.0,4.75,0,True,True
LyuL5_7m,8,g1|g2,0,True,171.0,166.0,4.69,0,True,True
LyuL6_8m,42,g12|g13,0,True,142.0,136.0,4.54,0,True,True
LyuL6_8m,7,g1|g2,0,True,158.0,158.0,3.98,0,True,True
LyuL6_8m,2024,g12|g13,0,True,147.0,135.0,4.1,0,True,True
LyuL6_8m,99,g12|g13,0,True,149.0,141.0,4.06,0,True,True
LyuL6_8m,123,g12|g13,0,True,164.25,155.0,5.1,0,True,True
LyuL6_8m,13,g12|g13,0,True,172.8,148.0,4.44,0,True,True
LyuL6_8m,1,g12|g13,0,True,147.0,141.0,3.99,0,True,True
LyuL6_8m,777,g12|g13,0,True,140.0,130.0,4.36,0,True,True
LyuL6_8m,31415,g12|g13,0,True,149.0,143.0,3.97,0,True,True
LyuL6_8m,8,g12|g13,0,True,146.0,143.0,3.95,0,True,True
