instance,seed,corridor,R1_release,R2_release,R1_feasible,R2_feasible,R1_makespan,R2_makespan,R1_wall_ms,R2_wall_ms,miss_on_B,quality_winner
LyuL2_4m,42,g1|g2,0,62,False,True,135.0,156.0,1.65,3.37,True,R2
LyuL2_4m,7,g2|g3,0,89,False,True,147.0,167.45,1.84,4.25,True,R2
LyuL2_4m,2024,g10|g11,0,69,False,True,131.0,143.0,1.76,3.79,True,R2
LyuL2_4m,99,g1|g2,0,38,False,True,146.0,149.0,1.6,2.86,True,R2
LyuL2_4m,123,g4|g8,0,75,False,True,140.0,164.0,1.74,3.67,True,R2
LyuL2_4m,13,g3|g4,0,59,False,True,148.0,154.0,1.69,3.33,True,R2
LyuL2_4m,1,g1|g2,0,83,False,True,158.0,188.3,1.81,4.21,True,R2
LyuL2_4m,777,g1|g2,0,78,False,True,142.0,158.0,1.67,3.81,True,R2
LyuL2_4m,31415,g1|g2,0,72,False,True,147.0,158.45,1.87,3.63,True,R2
LyuL2_4m,8,g3|g4,0,83,False,True,143.0,157.0,1.78,3.73,True,R2
LyuL3_5m,42,g5|g9,0,37,False,True,118.0,133.0,1.5,2.75,True,R2
LyuL3_5m,7,g5|g9,0,41,False,True,134.0,140.0,1.65,3.11,True,R2
LyuL3_5m,2024,g10|g6,0,63,False,True,140.0,146.0,1.53,3.15,True,R2
LyuL3_5m,99,g5|g9,0,28,False,True,114.0,125.0,1.43,2.54,True,R2
LyuL3_5m,123,g10|g14,0,57,False,True,123.0,132.05,1.62,3.05,True,R2
LyuL3_5m,13,g10|g6,0,43,False,True,127.0,133.0,1.33,2.62,True,R2
LyuL3_5m,1,g5|g9,0,56,False,True,133.0,139.0,1.55,3.25,True,R2
LyuL3_5m,777,g5|g9,0,61,False,True,120.0,142.0,1.58,3.58,True,R2
LyuL3_5m,31415,g10|g14,0,53,False,True,124.0,124.0,1.63,2.84,True,R2
LyuL3_5m,8,g10|g14,0,46,False,True,121.0,121.0,1.52,2.67,True,R2
LyuL4_6m,42,g2|g3,0,80,False,True,152.0,167.2,2.0,4.35,True,R2
LyuL4_6m,7,g2|g3,0,64,False,True,149.0,152.0,2.76,4.63,True,R2
LyuL4_6m,2024,g2|g3,0,88,False,True,149.0,153.0,2.15,4.94,True,R2
LyuL4_6m,99,g1|g2,0,41,False,True,155.0,174.0,1.75,3.46,True,R2
LyuL4_6m,123,g2|g3,0,83,False,True,153.0,163.55,2.22,4.72,True,R2
LyuL4_6m,13,g2|g3,0,75,False,True,154.0,169.9,1.91,3.92,True,R2
LyuL4_6m,1,g2|g3,0,80,False,True,173.0,183.0,2.09,4.47,True,R2
LyuL4_6m,777,g1|g2,0,83,False,True,156.0,175.0,1.9,4.75,True,R2
LyuL4_6m,31415,g2|g3,0,76,False,True,151.0,165.0,2.26,4.61,True,R2
LyuL4_6m,8,g3|g4,0,84,False,True,148.0,150.0,1.96,4.27,True,R2
LyuL5_7m,42,g2|g3,0,88,False,True,176.0,186.0,2.25,5.01,True,R2
LyuL5_7m,7,g1|g2,0,110,False,True,173.0,186.55,2.43,5.92,True,R2
LyuL5_7m,2024,g3|g4,0,95,False,True,169.0,172.0,2.42,5.06,True,R2
LyuL5_7m,99,g3|g4,0,100,False,True,169.0,169.0,2.37,5.25,True,R2
LyuL5_7m,123,g2|g3,0,111,False,True,183.0,183.05,2.42,5.92,True,R2
LyuL5_7m,13,g10|g15,0,75,False,True,191.0,195.0,2.22,4.2,True,R2
LyuL5_7m,1,g3|g4,0,108,False,True,179.0,184.0,2.6,5.81,True,R2
LyuL5_7m,777,g3|g4,0,80,False,True,178.0,182.0,2.13,4.63,True,R2
LyuL5_7m,31415,g3|g4,0,91,False,True,178.0,180.0,2.29,4.97,True,R2
LyuL5_7m,8,g1|g2,0,53,False,True,166.0,171.0,2.2,4.18,True,R2
LyuL6_8m,42,g12|g13,0,88,False,True,136.0,142.0,1.86,4.66,True,R2
LyuL6_8m,7,g1|g2,0,62,False,True,158.0,158.0,1.75,4.1,True,R2
LyuL6_8m,2024,g12|g13,0,70,False,True,135.0,147.0,1.69,4.14,True,R2
LyuL6_8m,99,g12|g13,0,67,False,True,141.0,149.0,1.84,4.14,True,R2
LyuL6_8m,123,g12|g13,0,92,False,True,155.0,164.25,2.22,5.13,True,R2
LyuL6_8m,13,g12|g13,0,77,False,True,148.0,172.8,1.84,4.52,True,R2
LyuL6_8m,1,g12|g13,0,66,False,True,141.0,147.0,1.93,4.08,True,R2
LyuL6_8m,777,g12|g13,0,82,False,True,130.0,140.0,1.74,4.35,True,R2
LyuL6_8m,31415,g12|g13,0,61,False,True,143.0,149.0,1.8,4.05,True,R2
LyuL6_8m,8,g12|g13,0,66,False,True,143.0,146.0,2.11,4.07,True,R2
