instance,seed,num_machines,n_nodes,n_corridors,lu_min_cut,far_group_cut,funnel_share,corridors_per_node,blocked_on_cut,corridor,n_hits,makespan,n_reservations,n_alive,n_seeds,n_closure,closure_frac,closure_frac_alive
LyuL2_4m,42,4,16,23,2,2,0.0,1.4375,True,g1|g2,12,135.0,120,74,12,62,0.5167,0.8378
LyuL2_4m,7,4,16,23,2,2,0.0,1.4375,True,g1|g2,10,147.0,146,93,10,90,0.6164,0.9677
LyuL2_4m,2024,4,16,23,2,2,0.0,1.4375,True,g1|g2,9,131.0,138,86,9,46,0.3333,0.5349
LyuL2_4m,99,4,16,23,2,2,0.0,1.4375,True,g1|g2,9,146.0,122,65,9,38,0.3115,0.5846
LyuL2_4m,123,4,16,23,2,2,0.0,1.4375,True,g1|g2,8,140.0,130,77,8,62,0.4769,0.8052
LyuL2_4m,13,4,16,23,2,2,0.0,1.4375,True,g1|g2,10,148.0,122,82,10,53,0.4344,0.6463
LyuL2_4m,1,4,16,23,2,2,0.0,1.4375,True,g1|g2,13,158.0,140,87,13,83,0.5929,0.954
LyuL2_4m,777,4,16,23,2,2,0.0,1.4375,True,g1|g2,11,142.0,128,83,11,78,0.6094,0.9398
LyuL2_4m,31415,4,16,23,2,2,0.0,1.4375,True,g1|g2,11,147.0,142,84,11,72,0.507,0.8571
LyuL2_4m,8,4,16,23,2,2,0.0,1.4375,True,g1|g2,9,143.0,133,85,9,82,0.6165,0.9647
LyuL3_5m,42,5,16,23,2,2,0.0,1.4375,True,g1|g2,6,118.0,112,69,6,35,0.3125,0.5072
LyuL3_5m,7,5,16,23,2,2,0.0,1.4375,True,g1|g2,5,134.0,120,71,5,30,0.25,0.4225
LyuL3_5m,2024,5,16,23,2,2,0.0,1.4375,True,g1|g2,6,140.0,116,70,6,31,0.2672,0.4429
LyuL3_5m,99,5,16,23,2,2,0.0,1.4375,True,g1|g2,3,114.0,106,66,3,11,0.1038,0.1667
LyuL3_5m,123,5,16,23,2,2,0.0,1.4375,True,g1|g2,6,123.0,120,71,6,31,0.2583,0.4366
LyuL3_5m,13,5,16,23,2,2,0.0,1.4375,True,g1|g2,6,127.0,96,57,6,43,0.4479,0.7544
LyuL3_5m,1,5,16,23,2,2,0.0,1.4375,True,g1|g2,5,133.0,116,63,5,45,0.3879,0.7143
LyuL3_5m,777,5,16,23,2,2,0.0,1.4375,True,g1|g2,7,120.0,120,76,7,63,0.525,0.8289
LyuL3_5m,31415,5,16,23,2,2,0.0,1.4375,True,g1|g2,7,124.0,124,78,7,60,0.4839,0.7692
LyuL3_5m,8,5,16,23,2,2,0.0,1.4375,True,g1|g2,7,121.0,114,69,7,34,0.2982,0.4928
LyuL4_6m,42,6,25,38,2,2,0.0,1.52,True,g1|g2,12,152.0,148,89,12,82,0.5541,0.9213
LyuL4_6m,7,6,25,38,2,2,0.0,1.52,True,g1|g2,8,149.0,156,97,8,52,0.3333,0.5361
LyuL4_6m,2024,6,25,38,2,2,0.0,1.52,True,g1|g2,10,149.0,168,110,10,93,0.5536,0.8455
LyuL4_6m,99,6,25,38,2,2,0.0,1.52,True,g1|g2,9,155.0,134,71,9,41,0.306,0.5775
LyuL4_6m,123,6,25,38,2,2,0.0,1.52,True,g1|g2,9,153.0,170,105,9,42,0.2471,0.4
LyuL4_6m,13,6,25,38,2,2,0.0,1.52,True,g1|g2,9,154.0,144,87,9,76,0.5278,0.8736
LyuL4_6m,1,6,25,38,2,2,0.0,1.52,True,g1|g2,10,173.0,167,102,10,51,0.3054,0.5
LyuL4_6m,777,6,25,38,2,2,0.0,1.52,True,g1|g2,11,156.0,152,97,11,83,0.5461,0.8557
LyuL4_6m,31415,6,25,38,2,2,0.0,1.52,True,g1|g2,13,151.0,156,100,13,68,0.4359,0.68
