instance,seed,budget_sec,corridor,R0_feasible,R0_makespan,R0_wall_ms,R0_res_frac,R2_feasible,R2_makespan,R2_wall_ms,R2_res_frac,ref_makespan
LyuL2_4m,42,0.2,g1|g2,True,134.0,349.47,0.983,True,156.0,3.42,0.417,135.0
LyuL2_4m,42,1.0,g1|g2,True,134.0,1321.27,0.983,True,156.0,3.42,0.417,135.0
LyuL2_4m,42,2.0,g1|g2,True,126.0,2305.95,0.992,True,156.0,3.42,0.417,135.0
LyuL2_4m,7,0.2,g2|g3,True,133.0,350.01,1.0,True,167.45,4.09,0.575,147.0
LyuL2_4m,7,1.0,g2|g3,True,128.0,1011.16,1.0,True,167.45,4.09,0.575,147.0
LyuL2_4m,7,2.0,g2|g3,True,127.0,2201.7,1.0,True,167.45,4.09,0.575,147.0
LyuL2_4m,2024,0.2,g10|g11,True,133.0,338.41,1.0,True,143.0,3.59,0.486,131.0
LyuL2_4m,2024,1.0,g10|g11,True,124.0,1308.47,1.0,True,143.0,3.59,0.486,131.0
LyuL2_4m,2024,2.0,g10|g11,True,124.0,2224.1,1.0,True,143.0,3.59,0.486,131.0
LyuL6_8m,42,0.2,g12|g13,True,134.0,489.94,0.583,True,142.0,4.6,0.569,136.0
LyuL6_8m,42,1.0,g12|g13,True,134.0,1468.3,0.583,True,142.0,4.6,0.569,136.0
LyuL6_8m,42,2.0,g12|g13,True,129.0,2342.22,1.0,True,142.0,4.6,0.569,136.0
LyuL6_8m,7,0.2,g1|g2,True,152.0,506.6,0.978,True,158.0,3.96,0.343,158.0
LyuL6_8m,7,1.0,g1|g2,True,140.0,1479.57,1.0,True,158.0,3.96,0.343,158.0
LyuL6_8m,7,2.0,g1|g2,True,121.0,2397.58,1.0,True,158.0,3.96,0.343,158.0
LyuL6_8m,2024,0.2,g12|g13,True,147.0,487.74,0.546,True,147.0,4.19,0.485,135.0
LyuL6_8m,2024,1.0,g12|g13,True,137.0,1400.28,0.931,True,147.0,4.19,0.485,135.0
LyuL6_8m,2024,2.0,g12|g13,True,135.0,2331.05,1.0,True,147.0,4.19,0.485,135.0
