instance,seed,arm,feasible,makespan,makespan_ref,wall_ms,res_frac,past_changed,past_total,release_size,alive_size,delta,esc_rounds,esc_wall_ms,k,jobs,machines,n_res,n_live,closure,closure_frac,n_nodes,n_corridors
S8x4x4,42,R2,True,161.0,107.0,5.134,0.527,0,54,80,94,,,,4,8,4,148,94,80,0.851,11,12
S8x4x4,42,RS,True,169.0,107.0,2.384,0.635,0,54,,94,62.0,,,4,8,4,148,94,80,0.851,11,12
S8x4x4,42,RD,True,167.0,107.0,8.077,0.649,2,54,,94,,,,4,8,4,148,94,80,0.851,11,12
S8x4x4,7,R2,True,172.0,122.0,5.474,0.538,0,63,88,93,,,,4,8,4,156,93,88,0.946,11,12
S8x4x4,7,RS,True,179.0,122.0,2.577,0.596,0,63,,93,57.0,,,4,8,4,156,93,88,0.946,11,12
S8x4x4,7,RD,True,164.0,122.0,7.259,0.603,1,63,,93,,,,4,8,4,156,93,88,0.946,11,12
S8x4x4,2024,R2,True,162.0,105.0,2.657,0.464,0,55,83,96,,,,4,8,4,151,96,83,0.865,11,12
S8x4x4,2024,RS,True,168.0,105.0,1.282,0.636,0,55,,96,63.0,,,4,8,4,151,96,83,0.865,11,12
S8x4x4,2024,RD,True,166.0,105.0,6.023,0.636,0,55,,96,,,,4,8,4,151,96,83,0.865,11,12
S8x4x4,99,R2,True,174.0,106.0,3.939,0.566,0,59,81,86,,,,4,8,4,145,86,81,0.942,11,12
S8x4x4,99,RS,True,174.0,106.0,2.545,0.593,0,59,,86,68.0,,,4,8,4,145,86,81,0.942,11,12
S8x4x4,99,RD,True,171.0,106.0,3.34,0.593,0,59,,86,,,,4,8,4,145,86,81,0.942,11,12
S8x4x4,123,R2,True,141.0,101.0,3.383,0.542,0,58,80,86,,,,4,8,4,144,86,80,0.93,11,12
S8x4x4,123,RS,True,140.0,101.0,1.268,0.597,0,58,,86,39.0,,,4,8,4,144,86,80,0.93,11,12
S8x4x4,123,RD,True,145.0,101.0,3.919,0.597,0,58,,86,,,,4,8,4,144,86,80,0.93,11,12
S8x4x4,13,R2,True,156.0,102.0,2.939,0.575,0,43,83,91,,,,4,8,4,134,91,83,0.912,11,12
S8x4x4,13,RS,True,159.0,102.0,1.27,0.679,0,43,,91,57.0,,,4,8,4,134,91,83,0.912,11,12
S8x4x4,13,RD,True,157.0,102.0,4.719,0.642,0,43,,91,,,,4,8,4,134,91,83,0.912,11,12
S8x4x4,1,R2,True,119.0,119.0,2.866,0.304,0,52,91,106,,,,4,8,4,158,106,91,0.858,11,12
S8x4x4,1,RS,True,195.0,119.0,1.321,0.671,0,52,,106,76.0,,,4,8,4,158,106,91,0.858,11,12
S8x4x4,1,RD,True,124.65,119.0,4.255,0.696,4,52,,106,,,,4,8,4,158,106,91,0.858,11,12
S8x4x4,777,R2,True,110.15,109.0,2.44,0.541,0,58,84,88,,,,4,8,4,146,88,84,0.955,11,12
S8x4x4,777,RS,True,178.0,109.0,1.485,0.603,0,58,,88,69.0,,,4,8,4,146,88,84,0.955,11,12
S8x4x4,777,RD,True,121.15,109.0,3.319,0.589,2,58,,88,,,,4,8,4,146,88,84,0.955,11,12
S8x4x4,31415,R2,True,103.0,103.0,2.274,0.178,0,61,73,85,,,,4,8,4,146,85,73,0.859,11,12
S8x4x4,31415,RS,True,169.0,103.0,1.384,0.582,0,61,,85,66.0,,,4,8,4,146,85,73,0.859,11,12
S8x4x4,31415,RD,True,103.05,103.0,3.256,0.582,0,61,,85,,,,4,8,4,146,85,73,0.859,11,12
S8x4x4,8,R2,True,161.0,105.0,2.606,0.534,0,57,85,91,,,,4,8,4,148,91,85,0.934,11,12
S8x4x4,8,RS,True,157.0,105.0,1.279,0.615,0,57,,91,52.0,,,4,8,4,148,91,85,0.934,11,12
S8x4x4,8,RD,True,163.0,105.0,4.499,0.615,0,57,,91,,,,4,8,4,148,91,85,0.934,11,12
S10x5x5,42,R2,True,143.0,91.0,12.012,0.54,0,72,77,91,,3,12.012,5,10,5,163,91,77,0.846,12,13
S10x5x5,42,RS,True,147.0,91.0,1.453,0.558,0,72,,91,56.0,,,5,10,5,163,91,77,0.846,12,13
S10x5x5,42,RD,True,135.0,91.0,4.989,0.54,0,72,,91,,,,5,10,5,163,91,77,0.846,12,13
S10x5x5,7,R2,True,123.0,85.0,2.743,0.359,0,59,68,97,,,,5,10,5,156,97,68,0.701,12,13
S10x5x5,7,RS,True,127.0,85.0,1.416,0.622,0,59,,97,42.0,,,5,10,5,156,97,68,0.701,12,13
S10x5x5,7,RD,True,116.0,85.0,7.244,0.615,0,59,,97,,,,5,10,5,156,97,68,0.701,12,13
S10x5x5,2024,R2,True,93.0,91.0,3.039,0.412,0,64,87,113,,,,5,10,5,177,113,87,0.77,12,13
S10x5x5,2024,RS,True,150.0,91.0,1.577,0.638,0,64,,113,59.0,,,5,10,5,177,113,87,0.77,12,13
S10x5x5,2024,RD,True,88.85,91.0,5.311,0.638,0,64,,113,,,,5,10,5,177,113,87,0.77,12,13
S10x5x5,99,R2,True,154.0,108.0,3.255,0.568,0,79,101,104,,,,5,10,5,183,104,101,0.971,12,13
S10x5x5,99,RS,True,163.0,108.0,2.651,0.568,0,79,,104,55.0,,,5,10,5,183,104,101,0.971,12,13
S10x5x5,99,RD,True,154.0,108.0,7.37,0.568,0,79,,104,,,,5,10,5,183,104,101,0.971,12,13
S10x5x5,123,R2,True,99.0,99.0,2.821,0.22,0,65,77,108,,,,5,10,5,173,108,77,0.713,12,13
S10x5x5,123,RS,True,147.0,99.0,1.444,0.624,0,65,,108,48.0,,,5,10,5,173,108,77,0.713,12,13
S10x5x5,123,RD,True,99.65,99.0,5.527,0.624,0,65,,108,,,,5,10,5,173,108,77,0.713,12,13
S10x5x5,13,R2,True,104.0,104.0,3.49,0.438,0,71,89,107,,,,5,10,5,178,107,89,0.832,12,13
S10x5x5,13,RS,True,169.0,104.0,1.725,0.601,0,71,,107,65.0,,,5,10,5,178,107,89,0.832,12,13
S10x5x5,13,RD,True,104.4,104.0,6.344,0.624,4,71,,107,,,,5,10,5,178,107,89,0.832,12,13
S10x5x5,1,R2,True,100.0,100.0,3.572,0.187,0,72,69,99,,,,5,10,5,171,99,69,0.697,12,13
S10x5x5,1,RS,True,152.0,100.0,1.467,0.579,0,72,,99,52.0,,,5,10,5,171,99,69,0.697,12,13
S10x5x5,1,RD,True,100.0,100.0,5.852,0.45,2,72,,99,,,,5,10,5,171,99,69,0.697,12,13
S10x5x5,777,R2,True,166.0,113.0,2.883,0.487,0,72,79,88,,,,5,10,5,160,88,79,0.898,12,13
S10x5x5,777,RS,True,170.0,113.0,1.393,0.55,0,72,,88,57.0,,,5,10,5,160,88,79,0.898,12,13
S10x5x5,777,RD,True,163.0,113.0,5.72,0.494,0,72,,88,,,,5,10,5,160,88,79,0.898,12,13
S10x5x5,31415,R2,True,160.0,98.0,5.023,0.536,0,68,104,115,,,,5,10,5,183,115,104,0.904,12,13
S10x5x5,31415,RS,True,157.0,98.0,1.573,0.628,0,68,,115,59.0,,,5,10,5,183,115,104,0.904,12,13
S10x5x5,31415,RD,True,151.0,98.0,7.273,0.645,3,68,,115,,,,5,10,5,183,115,104,0.904,12,13
S10x5x5,8,R2,True,138.0,101.0,3.127,0.447,0,77,87,102,,,,5,10,5,179,102,87,0.853,12,13
S10x5x5,8,RS,True,139.0,101.0,1.555,0.57,0,77,,102,38.0,,,5,10,5,179,102,87,0.853,12,13
S10x5x5,8,RD,True,116.0,101.0,6.453,0.581,2,77,,102,,,,5,10,5,179,102,87,0.853,12,13
S12x6x6,42,R2,True,115.0,115.0,4.286,0.181,0,95,126,142,,,,6,12,6,237,142,126,0.887,13,14
S12x6x6,42,RS,True,189.0,115.0,1.991,0.599,0,95,,142,74.0,,,6,12,6,237,142,126,0.887,13,14
S12x6x6,42,RD,True,129.25,115.0,11.236,0.603,1,95,,142,,,,6,12,6,237,142,126,0.887,13,14
S12x6x6,7,R2,True,159.0,104.0,3.958,0.425,0,76,99,152,,,,6,12,6,228,152,99,0.651,13,14
S12x6x6,7,RS,True,162.0,104.0,2.668,0.667,0,76,,152,58.0,,,6,12,6,228,152,99,0.651,13,14
S12x6x6,7,RD,True,146.0,104.0,14.083,0.667,0,76,,152,,,,6,12,6,228,152,99,0.651,13,14
S12x6x6,2024,R2,True,190.0,120.0,4.577,0.583,0,87,134,143,,,,6,12,6,230,143,134,0.937,13,14
S12x6x6,2024,RS,True,187.0,120.0,2.028,0.622,0,87,,143,67.0,,,6,12,6,230,143,134,0.937,13,14
S12x6x6,2024,RD,True,190.0,120.0,11.191,0.583,0,87,,143,,,,6,12,6,230,143,134,0.937,13,14
