instance,seed,mode,n_seeds,n_closure,n_T_impact,closure_frac,pass_C1,R1_feasible,R2_feasible,ref_makespan
example_3x3x2,42,lognormal,6,18,0,0.6429,True,False,True,60.66670721793992
example_3x3x2,7,lognormal,6,19,0,0.6333,True,False,True,55.32930689602499
example_3x3x2,2024,lognormal,4,14,0,0.4828,True,False,True,63.2187152672766
example_3x3x2,99,lognormal,6,17,0,0.5152,True,False,True,60.03653430774756
example_3x3x2,123,lognormal,5,15,0,0.5357,True,False,True,49.23129975156982
example_3x3x2,13,lognormal,6,20,0,0.7143,True,False,True,56.12709941257802
example_3x3x2,1,lognormal,4,11,0,0.5,True,False,True,63.108814232414126
example_3x3x2,777,lognormal,4,19,0,0.6333,True,False,True,52.89392394254093
example_3x3x2,31415,lognormal,5,15,0,0.5172,True,False,True,55.54042944320992
example_3x3x2,8,lognormal,6,18,0,0.6207,True,False,True,50.86838528444921
congested_8x4x4,42,lognormal,16,51,0,0.6071,True,False,True,211.99903910670457
congested_8x4x4,7,lognormal,16,50,0,0.5495,True,False,True,221.4964880483701
congested_8x4x4,2024,lognormal,14,48,0,0.5783,True,False,True,207.68264818886107
congested_8x4x4,99,lognormal,14,44,0,0.5432,True,False,True,160.3193552432828
congested_8x4x4,123,lognormal,14,45,0,0.5172,True,False,True,129.9735326897345
congested_8x4x4,13,lognormal,13,43,0,0.5658,True,False,True,282.8469857487103
congested_8x4x4,1,lognormal,16,49,0,0.5632,True,False,True,161.64901452428606
congested_8x4x4,777,lognormal,14,47,0,0.5802,True,False,True,228.2805408020661
congested_8x4x4,31415,lognormal,16,51,0,0.5604,True,False,True,119.75283483658659
congested_8x4x4,8,lognormal,16,54,0,0.5806,True,False,True,185.43719638227688
S8x4x4_high,42,lognormal,18,82,0,0.5467,True,False,True,115.04038134651732
S8x4x4_high,7,lognormal,16,77,0,0.5347,True,False,True,142.52286838795703
S8x4x4_high,2024,lognormal,14,77,0,0.5133,True,False,True,120.2996835862811
S8x4x4_high,99,lognormal,15,85,0,0.5822,True,False,True,127.63095918663286
S8x4x4_high,123,lognormal,15,86,0,0.5931,True,False,True,113.86828185672339
S8x4x4_high,13,lognormal,15,80,0,0.6154,True,False,True,107.96404337603244
S8x4x4_high,1,lognormal,16,101,0,0.6558,True,False,True,136.75543516931128
S8x4x4_high,777,lognormal,14,85,0,0.5862,True,False,True,124.03736296722364
S8x4x4_high,31415,lognormal,13,75,0,0.5282,True,False,True,136.3672817826258
S8x4x4_high,8,lognormal,14,70,0,0.5072,True,False,True,120.34227048431474
S8x4x4_funnel,42,lognormal,14,65,0,0.4779,True,False,True,111.23552118499107
S8x4x4_funnel,7,lognormal,17,91,0,0.6067,True,False,True,130.07669715638207
S8x4x4_funnel,2024,lognormal,18,74,0,0.4868,True,False,True,131.6976266659073
S8x4x4_funnel,99,lognormal,17,83,0,0.5887,True,False,True,126.44351839306148
S8x4x4_funnel,123,lognormal,14,77,0,0.5423,True,False,True,111.10390055013451
S8x4x4_funnel,13,lognormal,17,85,0,0.6343,True,False,True,127.39301653529951
S8x4x4_funnel,1,lognormal,14,75,0,0.5137,True,False,True,134.42565576891388
S8x4x4_funnel,777,lognormal,15,88,0,0.5752,True,False,True,141.63554244277492
S8x4x4_funnel,31415,lognormal,14,62,0,0.4769,True,False,True,112.13385271749478
S8x4x4_funnel,8,lognormal,13,76,0,0.5352,True,False,True,122.45156302465172
S8x4x4_mid,42,lognormal,15,78,0,0.5571,True,False,True,104.43282720800754
S8x4x4_mid,7,lognormal,16,87,0,0.5649,True,False,True,113.71789294219762
S8x4x4_mid,2024,lognormal,18,85,0,0.5519,True,False,True,108.16450576295306
S8x4x4_mid,99,lognormal,16,96,0,0.6358,True,False,True,151.42675125726126
S8x4x4_mid,123,lognormal,14,84,0,0.5753,True,False,True,101.07219626122655
S8x4x4_mid,13,lognormal,16,82,0,0.5857,True,False,True,120.73501016591513
S8x4x4_mid,1,lognormal,14,57,0,0.3958,True,False,True,113.34076695222974
S8x4x4_mid,777,lognormal,13,79,0,0.5448,True,False,True,126.67749046846465
S8x4x4_mid,31415,lognormal,15,78,0,0.5571,True,False,True,113.80288226655222
S8x4x4_mid,8,lognormal,14,81,0,0.5625,True,False,True,111.4388013506965
example_3x3x2,42,lu_far,6,16,0,0.5333,True,False,True,85.86666666666666
example_3x3x2,7,lu_far,6,18,0,0.6207,True,False,True,75.93333333333334
example_3x3x2,2024,lu_far,6,16,0,0.5333,True,False,True,77.93333333333334
example_3x3x2,99,lu_far,7,21,0,0.7241,True,False,True,72.46666666666667
example_3x3x2,123,lu_far,4,11,0,0.5,True,False,True,78.86666666666666
example_3x3x2,13,lu_far,6,20,0,0.6897,True,False,True,69.66666666666667
example_3x3x2,1,lu_far,4,11,0,0.5,True,False,True,81.13333333333333
example_3x3x2,777,lu_far,6,20,0,0.6452,True,False,True,76.33333333333333
example_3x3x2,31415,lu_far,6,16,0,0.5517,True,False,True,71.86666666666666
example_3x3x2,8,lu_far,6,18,0,0.6207,True,False,True,70.66666666666667
congested_8x4x4,42,lu_far,16,52,0,0.5977,True,False,True,243.00952380952367
congested_8x4x4,7,lu_far,15,49,0,0.5506,True,False,True,254.6095238095237
congested_8x4x4,2024,lu_far,14,48,0,0.5714,True,False,True,238.14285714285705
congested_8x4x4,99,lu_far,14,46,0,0.575,True,False,True,227.67619047619036
