instance,tag,het,arm,n,mean,sd,median,best,worst,mean_sec,mean_evals,ms_per_eval,stopped_by,lower_bound,gap_upper
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,rule,10,187.0,0.0,187.0,187.0,187.0,,,,,44.75,0.7607
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,twostage,10,80.5,6.294,80.0,69.0,92.0,40.81,95652,0.427,budget,44.75,0.4441
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,nofeedback,10,73.1,2.331,73.0,70.0,77.0,41.08,4104,10.01,budget,44.75,0.3878
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,opendispatch,10,75.0,4.989,73.5,69.0,83.0,40.92,11844,3.454,budget,44.75,0.4033
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,nostagger,10,75.3,5.143,74.5,70.0,85.0,41.27,2616,15.776,budget,44.75,0.4057
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,closed,10,73.9,5.152,73.5,68.0,84.0,41.15,2418,17.018,budget,44.75,0.3945
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,priced,10,83.4,3.34,84.0,77.0,89.0,43.31,516,83.926,budget,44.75,0.4634
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,rule,10,151.0,0.0,151.0,151.0,151.0,,,,,38.75,0.7434
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,twostage,10,78.2,2.573,78.0,73.0,81.0,42.21,107160,0.394,budget,38.75,0.5045
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,nofeedback,10,71.3,2.983,72.0,67.0,75.0,42.56,4464,9.534,budget,38.75,0.4565
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,opendispatch,10,72.6,2.757,72.0,67.0,77.0,42.3,13032,3.246,budget,38.75,0.4663
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,nostagger,10,72.5,3.375,72.5,67.0,79.0,42.61,2970,14.345,budget,38.75,0.4655
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,closed,10,72.5,3.44,71.5,68.0,79.0,42.74,2790,15.32,budget,38.75,0.4655
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,priced,10,81.6,3.134,81.0,78.0,88.0,44.19,582,75.931,budget,38.75,0.5251
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,rule,10,133.0,0.0,133.0,133.0,133.0,,,,,31.25,0.765
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,twostage,10,77.4,6.501,79.0,63.0,86.0,46.73,119358,0.391,budget,31.25,0.5963
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,nofeedback,10,69.8,2.15,69.5,67.0,73.0,47.02,5064,9.285,budget,31.25,0.5523
