instance,tag,het,baseline,seed,baseline_makespan,closed_makespan,rel_gain
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,twostage,7,69.0,66.0,0.04348
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,twostage,42,71.0,69.0,0.02817
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,nofeedback,7,75.0,66.0,0.12
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,nofeedback,42,79.0,69.0,0.12658
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,opendispatch,7,70.0,66.0,0.05714
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,opendispatch,42,73.0,69.0,0.05479
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,nostagger,7,67.0,66.0,0.01493
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,nostagger,42,73.0,69.0,0.05479
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,twostage,7,78.0,74.0,0.05128
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,twostage,42,74.0,80.0,-0.08108
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,nofeedback,7,74.0,74.0,0.0
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,nofeedback,42,80.0,80.0,0.0
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,opendispatch,7,73.0,74.0,-0.0137
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,opendispatch,42,81.0,80.0,0.01235
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,nostagger,7,77.0,74.0,0.03896
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,nostagger,42,80.0,80.0,0.0
