instance,tag,het,arm,seed,makespan,runtime_sec,generations,evaluations,ms_per_eval,stopped_by,valid,lower_bound,gap_upper,budget_sec,run
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,rule,3,179.0,0.0,,,,,1,39.75,0.7779,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,rule,7,179.0,0.0,,,,,1,39.75,0.7779,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,rule,11,179.0,0.0,,,,,1,39.75,0.7779,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,rule,19,179.0,0.0,,,,,1,39.75,0.7779,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,rule,23,179.0,0.0,,,,,1,39.75,0.7779,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,rule,31,179.0,0.0,,,,,1,39.75,0.7779,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,rule,42,179.0,0.0,,,,,1,39.75,0.7779,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,rule,47,179.0,0.0,,,,,1,39.75,0.7779,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,rule,53,179.0,0.0,,,,,1,39.75,0.7779,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,rule,2024,179.0,0.0,,,,,1,39.75,0.7779,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,3,81.0,47.66,2042,122520,0.389,budget,1,39.75,0.5093,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,7,78.0,47.67,2224,133440,0.357,budget,1,39.75,0.4904,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,11,75.0,47.67,2237,134220,0.355,budget,1,39.75,0.47,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,19,81.0,47.66,2106,126360,0.377,budget,1,39.75,0.5093,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,23,86.0,47.67,2212,132720,0.359,budget,1,39.75,0.5378,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,31,97.0,47.67,2098,125880,0.379,budget,1,39.75,0.5902,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,42,85.0,47.66,1989,119340,0.399,budget,1,39.75,0.5324,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,47,86.0,47.66,2092,125520,0.38,budget,1,39.75,0.5378,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,53,79.0,47.67,2002,120120,0.397,budget,1,39.75,0.4968,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,2024,95.0,47.66,1998,119880,0.398,budget,1,39.75,0.5816,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,3,80.0,47.69,92,5520,8.639,budget,1,39.75,0.5031,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,7,76.0,47.86,103,6180,7.744,budget,1,39.75,0.477,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,11,75.0,47.77,95,5700,8.381,budget,1,39.75,0.47,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,19,79.0,47.78,98,5880,8.126,budget,1,39.75,0.4968,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,23,77.0,47.86,94,5640,8.486,budget,1,39.75,0.4838,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,31,82.0,47.74,87,5220,9.146,budget,1,39.75,0.5152,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,42,76.0,47.73,91,5460,8.742,budget,1,39.75,0.477,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,47,77.0,47.67,97,5820,8.191,budget,1,39.75,0.4838,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,53,74.0,47.69,100,6000,7.948,budget,1,39.75,0.4628,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,2024,86.0,48.2,80,4800,10.042,budget,1,39.75,0.5378,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,3,78.0,47.72,261,15660,3.047,budget,1,39.75,0.4904,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,7,75.0,47.7,302,18120,2.632,budget,1,39.75,0.47,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,11,74.0,47.7,316,18960,2.516,budget,1,39.75,0.4628,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,19,78.0,47.73,283,16980,2.811,budget,1,39.75,0.4904,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,23,78.0,47.76,289,17340,2.754,budget,1,39.75,0.4904,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,31,79.0,47.7,296,17760,2.686,budget,1,39.75,0.4968,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,42,81.0,47.73,257,15420,3.095,budget,1,39.75,0.5093,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,47,71.0,47.71,323,19380,2.462,budget,1,39.75,0.4401,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,53,76.0,47.79,276,16560,2.886,budget,1,39.75,0.477,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,2024,80.0,47.68,244,14640,3.257,budget,1,39.75,0.5031,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,3,73.0,47.68,433,25980,1.835,budget,1,39.75,0.4555,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,7,73.0,47.67,471,28260,1.687,budget,1,39.75,0.4555,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,11,72.0,47.71,464,27840,1.714,budget,1,39.75,0.4479,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,19,75.0,47.73,434,26040,1.833,budget,1,39.75,0.47,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,23,76.0,47.66,449,26940,1.769,budget,1,39.75,0.477,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,31,82.0,47.66,407,24420,1.952,budget,1,39.75,0.5152,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,42,75.0,47.67,463,27780,1.716,budget,1,39.75,0.47,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,47,73.0,47.67,472,28320,1.683,budget,1,39.75,0.4555,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,53,75.0,47.68,436,26160,1.823,budget,1,39.75,0.47,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,2024,80.0,47.66,434,26040,1.83,budget,1,39.75,0.5031,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nostagger,3,77.0,48.1,63,3780,12.725,budget,1,39.75,0.4838,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nostagger,7,74.0,47.79,64,3840,12.445,budget,1,39.75,0.4628,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nostagger,11,78.0,48.1,68,4080,11.789,budget,1,39.75,0.4904,47.65,lowmid
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nostagger,19,87.0,48.13,63,3780,12.733,budget,1,39.75,0.5431,47.65,lowmid
