instance,tag,het,protocol,theta,seed,makespan,runtime_sec,evaluations,ls_evaluations,decodes,ms_per_eval,ms_per_decode,generations,stopped_by,price_slots,entry_options,budget_sec,valid
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.0,42,71.0,49.53,2820,1980,4800,17.564,10.319,47,budget,0,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.0,7,69.0,49.18,2940,1919,4859,16.728,10.121,49,budget,0,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.0,2024,82.0,49.54,2580,1849,4429,19.202,11.185,43,budget,0,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.0,13,71.0,49.61,3180,2070,5250,15.601,9.45,53,budget,0,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.0,99,75.0,49.3,3060,2070,5130,16.111,9.61,51,budget,0,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.0,314,75.0,49.03,3360,1825,5185,14.592,9.456,56,budget,0,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.0,2718,67.0,49.04,3060,2114,5174,16.026,9.478,51,budget,0,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.0,1618,72.0,49.5,2820,1795,4615,17.553,10.726,47,budget,0,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.0,577,68.0,49.3,3060,2077,5137,16.111,9.597,51,budget,0,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.0,8191,73.0,49.24,3180,1738,4918,15.484,10.012,53,budget,0,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.05,42,74.0,52.69,660,498,1158,79.833,45.501,11,budget,11,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.05,7,81.0,50.72,600,448,1048,84.533,48.397,10,budget,12,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.05,2024,84.0,49.94,600,419,1019,83.233,49.009,10,budget,14,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.05,13,78.0,50.6,660,446,1106,76.667,45.75,11,budget,7,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.05,99,78.0,49.07,660,425,1085,74.348,45.226,11,budget,10,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.05,314,76.0,51.04,600,456,1056,85.067,48.333,10,budget,14,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.05,2718,73.0,48.95,660,457,1117,74.167,43.823,11,budget,7,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.05,1618,77.0,51.7,600,490,1090,86.167,47.431,10,budget,13,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.05,577,71.0,49.9,660,464,1124,75.606,44.395,11,budget,8,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.05,8191,78.0,51.97,660,498,1158,78.742,44.879,11,budget,5,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.1,42,74.0,51.55,660,498,1158,78.106,44.516,11,budget,11,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.1,7,81.0,49.61,600,448,1048,82.683,47.338,10,budget,12,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.1,2024,84.0,50.03,600,419,1019,83.383,49.097,10,budget,14,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.1,13,78.0,51.02,660,446,1106,77.303,46.13,11,budget,7,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.1,99,78.0,51.99,720,455,1175,72.208,44.247,12,budget,10,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.1,314,76.0,50.86,600,456,1056,84.767,48.163,10,budget,14,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.1,2718,70.0,53.0,720,496,1216,73.611,43.586,12,budget,7,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.1,1618,77.0,51.59,600,490,1090,85.983,47.33,10,budget,13,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.1,577,71.0,49.89,660,464,1124,75.591,44.386,11,budget,8,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.1,8191,78.0,52.19,660,498,1158,79.076,45.069,11,budget,5,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.15,42,74.0,51.93,660,498,1158,78.682,44.845,11,budget,11,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.15,7,81.0,49.84,600,448,1048,83.067,47.557,10,budget,12,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.15,2024,84.0,49.84,600,419,1019,83.067,48.911,10,budget,14,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.15,13,78.0,50.6,660,446,1106,76.667,45.75,11,budget,7,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.15,99,78.0,52.22,720,455,1175,72.528,44.443,12,budget,10,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.15,314,76.0,50.98,600,456,1056,84.967,48.277,10,budget,14,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.15,2718,73.0,49.34,660,457,1117,74.758,44.172,11,budget,7,3,48.85,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,wallclock,0.15,1618,77.0,51.74,600,490,1090,86.233,47.468,10,budget,13,3,48.85,1
