instance,tag,het,protocol,theta,seed,makespan,runtime_sec,evaluations,ls_evaluations,decodes,ms_per_eval,ms_per_decode,generations,stopped_by,price_slots,entry_options,budget_sec,valid
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.0,42,71.0,21.5,1260,881,2141,17.063,10.042,20,max_gen,0,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.0,7,72.0,21.12,1260,854,2114,16.762,9.991,20,max_gen,0,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.0,2024,82.0,23.86,1260,883,2143,18.937,11.134,20,max_gen,0,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.0,13,77.0,19.78,1260,742,2002,15.698,9.88,20,max_gen,0,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.0,99,75.0,19.68,1260,768,2028,15.619,9.704,20,max_gen,0,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.05,42,73.0,96.57,1260,878,2138,76.643,45.168,20,max_gen,10,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.05,7,75.0,95.87,1260,843,2103,76.087,45.587,20,max_gen,7,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.05,2024,82.0,97.24,1260,737,1997,77.175,48.693,20,max_gen,12,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.05,13,70.0,90.74,1260,745,2005,72.016,45.257,20,max_gen,7,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.05,99,76.0,84.5,1260,695,1955,67.063,43.223,20,max_gen,5,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.1,42,73.0,96.96,1260,878,2138,76.952,45.351,20,max_gen,10,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.1,7,75.0,98.26,1260,843,2103,77.984,46.724,20,max_gen,7,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.1,2024,82.0,97.33,1260,737,1997,77.246,48.738,20,max_gen,12,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.1,13,70.0,91.02,1260,745,2005,72.238,45.397,20,max_gen,7,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.1,99,76.0,84.66,1260,695,1955,67.19,43.304,20,max_gen,5,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.15,42,73.0,97.24,1260,878,2138,77.175,45.482,20,max_gen,10,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.15,7,75.0,95.95,1260,843,2103,76.151,45.625,20,max_gen,7,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.15,2024,82.0,97.48,1260,737,1997,77.365,48.813,20,max_gen,12,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.15,13,70.0,90.86,1260,745,2005,72.111,45.317,20,max_gen,7,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.15,99,76.0,84.82,1260,695,1955,67.317,43.386,20,max_gen,5,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.3,42,73.0,97.22,1260,878,2138,77.159,45.472,20,max_gen,10,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.3,7,75.0,96.38,1260,843,2103,76.492,45.83,20,max_gen,7,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.3,2024,82.0,99.06,1260,737,1997,78.619,49.604,20,max_gen,12,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.3,13,70.0,91.28,1260,745,2005,72.444,45.526,20,max_gen,7,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.3,99,76.0,85.08,1260,695,1955,67.524,43.519,20,max_gen,5,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.5,42,73.0,96.82,1260,878,2138,76.841,45.285,20,max_gen,10,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.5,7,75.0,96.73,1260,843,2103,76.77,45.996,20,max_gen,7,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.5,2024,82.0,98.22,1260,737,1997,77.952,49.184,20,max_gen,12,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.5,13,70.0,90.98,1260,745,2005,72.206,45.377,20,max_gen,7,3,,1
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,generations,0.5,99,76.0,84.99,1260,695,1955,67.452,43.473,20,max_gen,5,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.0,42,71.0,18.81,1260,898,2158,14.929,8.716,20,max_gen,0,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.0,7,72.0,18.06,1260,882,2142,14.333,8.431,20,max_gen,0,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.0,2024,75.0,19.88,1260,899,2159,15.778,9.208,20,max_gen,0,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.0,13,72.0,18.42,1260,824,2084,14.619,8.839,20,max_gen,0,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.0,99,73.0,17.64,1260,891,2151,14.0,8.201,20,max_gen,0,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.05,42,72.0,78.82,1260,881,2141,62.556,36.815,20,max_gen,10,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.05,7,68.0,79.63,1260,918,2178,63.198,36.561,20,max_gen,11,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.05,2024,75.0,84.57,1260,899,2159,67.119,39.171,20,max_gen,12,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.05,13,73.0,78.03,1260,863,2123,61.929,36.755,20,max_gen,11,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.05,99,75.0,78.8,1260,835,2095,62.54,37.613,20,max_gen,9,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.1,42,72.0,78.75,1260,881,2141,62.5,36.782,20,max_gen,10,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.1,7,68.0,79.8,1260,918,2178,63.333,36.639,20,max_gen,11,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.1,2024,75.0,84.96,1260,899,2159,67.429,39.352,20,max_gen,12,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.1,13,73.0,77.93,1260,863,2123,61.849,36.707,20,max_gen,11,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.1,99,75.0,79.06,1260,835,2095,62.746,37.737,20,max_gen,9,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.15,42,72.0,78.91,1260,881,2141,62.627,36.857,20,max_gen,10,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.15,7,68.0,79.83,1260,918,2178,63.357,36.653,20,max_gen,11,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.15,2024,75.0,84.82,1260,899,2159,67.317,39.287,20,max_gen,12,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.15,13,72.0,77.92,1260,843,2103,61.841,37.052,20,max_gen,6,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.15,99,75.0,79.52,1260,835,2095,63.111,37.957,20,max_gen,9,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.3,42,72.0,78.48,1260,881,2141,62.286,36.656,20,max_gen,10,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.3,7,68.0,80.88,1260,918,2178,64.19,37.135,20,max_gen,11,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.3,2024,75.0,85.03,1260,899,2159,67.484,39.384,20,max_gen,12,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.3,13,72.0,78.08,1260,843,2103,61.968,37.128,20,max_gen,6,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.3,99,75.0,79.23,1260,835,2095,62.881,37.819,20,max_gen,9,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.5,42,72.0,79.02,1260,881,2141,62.714,36.908,20,max_gen,10,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.5,7,68.0,80.8,1260,918,2178,64.127,37.098,20,max_gen,11,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.5,2024,75.0,87.93,1260,899,2159,69.786,40.727,20,max_gen,12,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.5,13,72.0,78.0,1260,843,2103,61.905,37.09,20,max_gen,6,3,,1
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,generations,0.5,99,83.0,81.17,1260,829,2089,64.421,38.856,20,max_gen,9,3,,1
