instance,base,layout,ref_kind,ref_value,ref_method,ref_citekey,seeds,best,mean,std,worst,gap_best_pct,gap_mean_pct,matches_ref,lower_bound,mean_runtime_sec,all_valid
mfjs01-ideal,mfjs01,6-M,proven_optimal,485.0,MILP,homayouni2021production,10,485.0,485.0,0.0,485.0,0.0,0.0,True,407.0,0.89,True
mfjs02-ideal,mfjs02,7-M,proven_optimal,463.0,MILP,homayouni2021production,10,476.0,483.4,5.9,492.0,2.81,4.41,False,402.0,0.9,True
mfjs03-ideal,mfjs03,7-M,proven_optimal,482.0,MILP,homayouni2021production,10,482.0,504.7,24.14,549.0,0.0,4.71,True,402.0,1.64,True
mfjs04-ideal,mfjs04,7-M,proven_optimal,576.0,MILP,homayouni2021production,10,586.0,623.0,25.13,659.0,1.74,8.16,False,502.0,1.61,True
mfjs05-ideal,mfjs05,7-M,proven_optimal,532.0,MILP,homayouni2021production,10,561.0,592.8,22.63,644.0,5.45,11.43,False,420.0,1.61,True
mfjs06-ideal,mfjs06,7-M,proven_optimal,652.0,MILP,homayouni2021production,10,677.0,728.3,27.5,774.0,3.83,11.7,False,622.0,1.94,True
mfjs07-ideal,mfjs07,7-M,best_known,898.0,LAHC,homayouni2021production,10,965.0,1023.3,31.49,1070.0,7.46,13.95,False,772.0,3.62,True
mfjs08-ideal,mfjs08,8-M,best_known,900.0,LAHC,homayouni2021production,10,970.0,1027.0,46.64,1136.0,7.78,14.11,False,770.0,5.22,True
mfjs09-ideal,mfjs09,8-M,best_known,1098.0,2-phase,lim2023twophase,10,1226.0,1279.2,28.93,1331.0,11.66,16.5,False,770.0,6.89,True
mfjs10-ideal,mfjs10,8-M,best_known,1230.0,2-phase,lim2023twophase,10,1389.0,1473.0,53.68,1561.0,12.93,19.76,False,950.0,7.22,True
sfjs01-ideal,sfjs01,2-M,proven_optimal,70.0,MILP,homayouni2021production,10,70.0,70.0,0.0,70.0,0.0,0.0,True,68.0,0.16,True
sfjs02-ideal,sfjs02,2-M,proven_optimal,111.0,MILP,homayouni2021production,10,111.0,111.0,0.0,111.0,0.0,0.0,True,111.0,0.15,True
sfjs03-ideal,sfjs03,2-M,proven_optimal,223.0,MILP,homayouni2021production,10,223.0,223.0,0.0,223.0,0.0,0.0,True,212.0,0.23,True
sfjs04-ideal,sfjs04,2-M,proven_optimal,359.0,MILP,homayouni2021production,10,359.0,359.0,0.0,359.0,0.0,0.0,True,331.0,0.26,True
sfjs05-ideal,sfjs05,2-M,proven_optimal,123.0,MILP,homayouni2021production,10,123.0,123.0,0.0,123.0,0.0,0.0,True,106.5,0.31,True
sfjs06-ideal,sfjs06,3-M,proven_optimal,324.0,MILP,homayouni2021production,10,324.0,324.0,0.0,324.0,0.0,0.0,True,312.0,0.33,True
sfjs07-ideal,sfjs07,5-M,proven_optimal,409.0,MILP,homayouni2021production,10,409.0,409.0,0.0,409.0,0.0,0.0,True,400.0,0.4,True
sfjs08-ideal,sfjs08,4-M,proven_optimal,269.0,MILP,homayouni2021production,10,269.0,269.5,1.5,274.0,0.0,0.19,True,222.0,0.41,True
sfjs09-ideal,sfjs09,3-M,proven_optimal,220.0,MILP,homayouni2021production,10,220.0,222.0,4.82,236.0,0.0,0.91,True,212.0,0.4,True
sfjs10-ideal,sfjs10,5-M,proven_optimal,531.0,MILP,homayouni2021production,10,531.0,531.0,0.0,531.0,0.0,0.0,True,430.0,0.59,True
