instance,base,dataset,layout,num_jobs,num_machines,num_ops,num_agvs,delta_return,Tt_over_Tp,heterogeneity,flexibility,lower_bound,lb_job_chain,lb_machine_load
mfjs01-ideal,mfjs01,hf,6-M,5,6,15,2,0,0.074,0.1376,0.3667,407.0,407.0,268.3333
mfjs02-ideal,mfjs02,hf,7-M,5,7,15,2,0,0.0535,0.1515,0.3714,402.0,402.0,229.0
mfjs03-ideal,mfjs03,hf,7-M,6,7,18,2,0,0.0498,0.1732,0.381,402.0,402.0,284.4286
mfjs04-ideal,mfjs04,hf,7-M,7,7,21,2,0,0.0474,0.1649,0.381,502.0,502.0,357.8571
mfjs05-ideal,mfjs05,hf,7-M,7,7,21,2,0,0.0481,0.1716,0.3741,420.0,420.0,340.2857
mfjs06-ideal,mfjs06,hf,7-M,8,7,24,2,0,0.0456,0.1584,0.369,622.0,622.0,428.0
mfjs07-ideal,mfjs07,hf,7-M,8,7,32,2,0,0.0451,0.1562,0.3482,772.0,772.0,585.8571
mfjs08-ideal,mfjs08,hf,8-M,9,8,36,2,0,0.0436,0.1485,0.2986,770.0,770.0,577.625
mfjs09-ideal,mfjs09,hf,8-M,11,8,44,2,0,0.0426,0.1322,0.2926,770.0,770.0,738.125
mfjs10-ideal,mfjs10,hf,8-M,12,8,48,2,0,0.0404,0.1276,0.2917,950.0,950.0,856.125
sfjs01-ideal,sfjs01,hf,2-M,2,2,4,2,0,0.1104,0.2575,1.0,68.0,68.0,57.5
sfjs02-ideal,sfjs02,hf,2-M,2,2,4,2,0,0.0939,0.0755,0.75,111.0,111.0,85.5
sfjs03-ideal,sfjs03,hf,2-M,3,2,6,2,0,0.0557,0.057,0.8333,212.0,170.0,212.0
sfjs04-ideal,sfjs04,hf,2-M,3,2,6,2,0,0.0395,0.0384,0.8333,331.0,274.0,331.0
sfjs05-ideal,sfjs05,hf,2-M,3,2,6,2,0,0.1053,0.1578,1.0,106.5,102.0,106.5
sfjs06-ideal,sfjs06,hf,3-M,3,3,9,2,0,0.0663,0.0916,0.5556,312.0,312.0,222.3333
sfjs07-ideal,sfjs07,hf,5-M,3,5,9,2,0,0.078,0.1116,0.4,400.0,400.0,179.8
sfjs08-ideal,sfjs08,hf,4-M,3,4,9,2,0,0.1176,0.1075,0.5,222.0,222.0,140.75
sfjs09-ideal,sfjs09,hf,3-M,3,3,9,2,0,0.1089,0.1169,0.6667,212.0,212.0,149.0
sfjs10-ideal,sfjs10,hf,5-M,4,5,12,2,0,0.0667,0.0864,0.3333,430.0,430.0,307.4
