instance,ref_kind,ref_value,budget_b,best_b,mean_b,std_b,sec_b,gap_b_pct,budget_a,best_a,mean_a,std_a,sec_a,gap_a_pct,gap_closed_pp,time_ratio,seeds_a,seeds_b
mfjs01-ideal,proven_optimal,485.0,p100g200s30,485.0,485.0,0.0,0.9,0.0,p100g1000s100,485.0,485.0,0.0,2.3,0.0,0.0,2.6,10,10
mfjs02-ideal,proven_optimal,463.0,p100g200s30,476.0,483.4,5.9,0.9,2.81,p100g1000s100,468.0,482.0,7.4,3.0,1.08,1.73,3.3,10,10
mfjs03-ideal,proven_optimal,482.0,p100g200s30,482.0,504.7,24.1,1.6,0.0,p100g1000s100,482.0,504.7,24.1,3.6,0.0,0.0,2.2,10,10
mfjs04-ideal,proven_optimal,576.0,p100g200s30,586.0,623.0,25.1,1.6,1.74,p100g1000s100,582.0,614.4,21.4,5.0,1.04,0.7,3.1,10,10
mfjs05-ideal,proven_optimal,532.0,p100g200s30,561.0,592.8,22.6,1.6,5.45,p100g1000s100,561.0,592.7,22.6,4.0,5.45,0.0,2.5,10,10
mfjs06-ideal,proven_optimal,652.0,p100g200s30,677.0,728.3,27.5,1.9,3.83,p100g1000s100,677.0,717.9,26.4,5.3,3.83,0.0,2.7,10,10
mfjs07-ideal,best_known,898.0,p100g200s30,965.0,1023.3,31.5,3.6,7.46,p100g1000s100,937.0,1005.7,35.5,9.1,4.34,3.12,2.5,10,10
mfjs08-ideal,best_known,900.0,p100g200s30,970.0,1027.0,46.6,5.2,7.78,p100g1000s100,970.0,1020.4,46.9,10.0,7.78,0.0,1.9,10,10
mfjs09-ideal,best_known,1098.0,p100g200s30,1226.0,1279.2,28.9,6.9,11.66,p100g1000s100,1196.0,1247.3,31.1,16.4,8.93,2.73,2.4,10,10
mfjs10-ideal,best_known,1230.0,p100g200s30,1389.0,1473.0,53.7,7.2,12.93,p100g1000s100,1388.0,1463.3,44.6,15.6,12.85,0.08,2.2,10,10
