instance,seed,arm,budget,pop,max_gen,stall_gen,makespan,runtime_sec,generations,evaluations,stopped_by,valid,lower_bound
mfjs01-ideal,1,ideal,p100g1000s100,100,1000,100,485.0,2.073,105,10500,stall,True,407.0
mfjs01-ideal,2,ideal,p100g1000s100,100,1000,100,485.0,2.143,109,10900,stall,True,407.0
mfjs01-ideal,3,ideal,p100g1000s100,100,1000,100,485.0,2.424,117,11700,stall,True,407.0
mfjs01-ideal,4,ideal,p100g1000s100,100,1000,100,485.0,2.333,118,11800,stall,True,407.0
mfjs01-ideal,5,ideal,p100g1000s100,100,1000,100,485.0,2.311,109,10900,stall,True,407.0
mfjs01-ideal,6,ideal,p100g1000s100,100,1000,100,485.0,2.776,126,12600,stall,True,407.0
mfjs01-ideal,7,ideal,p100g1000s100,100,1000,100,485.0,2.3,109,10900,stall,True,407.0
mfjs01-ideal,8,ideal,p100g1000s100,100,1000,100,485.0,2.24,113,11300,stall,True,407.0
mfjs01-ideal,9,ideal,p100g1000s100,100,1000,100,485.0,2.168,109,10900,stall,True,407.0
mfjs01-ideal,10,ideal,p100g1000s100,100,1000,100,485.0,2.422,115,11500,stall,True,407.0
mfjs02-ideal,1,ideal,p100g1000s100,100,1000,100,479.0,2.354,110,11000,stall,True,402.0
mfjs02-ideal,2,ideal,p100g1000s100,100,1000,100,491.0,2.557,103,10300,stall,True,402.0
mfjs02-ideal,3,ideal,p100g1000s100,100,1000,100,476.0,2.719,108,10800,stall,True,402.0
mfjs02-ideal,4,ideal,p100g1000s100,100,1000,100,482.0,2.764,117,11700,stall,True,402.0
mfjs02-ideal,5,ideal,p100g1000s100,100,1000,100,476.0,2.467,112,11200,stall,True,402.0
mfjs02-ideal,6,ideal,p100g1000s100,100,1000,100,491.0,4.58,214,21400,stall,True,402.0
mfjs02-ideal,7,ideal,p100g1000s100,100,1000,100,481.0,2.607,117,11700,stall,True,402.0
mfjs02-ideal,8,ideal,p100g1000s100,100,1000,100,468.0,4.914,218,21800,stall,True,402.0
mfjs02-ideal,9,ideal,p100g1000s100,100,1000,100,492.0,2.325,105,10500,stall,True,402.0
mfjs02-ideal,10,ideal,p100g1000s100,100,1000,100,484.0,2.797,118,11800,stall,True,402.0
mfjs03-ideal,1,ideal,p100g1000s100,100,1000,100,482.0,4.095,160,16000,stall,True,402.0
mfjs03-ideal,2,ideal,p100g1000s100,100,1000,100,540.0,3.49,123,12300,stall,True,402.0
