instance,num_jobs,num_machines,num_real_ops,flexibility,heterogeneity,Tt_over_Tp
mfjs01,5,6,15,0.3667,0.1376,0.074
mfjs02,5,7,15,0.3714,0.1515,0.0535
mfjs03,6,7,18,0.381,0.1732,0.0498
mfjs04,7,7,21,0.381,0.1649,0.0474
mfjs05,7,7,21,0.3741,0.1716,0.0481
mfjs06,8,7,24,0.369,0.1584,0.0456
mfjs07,8,7,32,0.3482,0.1562,0.0451
mfjs08,9,8,36,0.2986,0.1485,0.0436
mfjs09,11,8,44,0.2926,0.1322,0.0426
mfjs10,12,8,48,0.2917,0.1276,0.0404
sfjs01,2,2,4,1.0,0.2575,0.1104
sfjs02,2,2,4,0.75,0.0755,0.0939
sfjs03,3,2,6,0.8333,0.057,0.0557
sfjs04,3,2,6,0.8333,0.0384,0.0395
sfjs05,3,2,6,1.0,0.1578,0.1053
sfjs06,3,3,9,0.5556,0.0916,0.0663
sfjs07,3,5,9,0.4,0.1116,0.078
sfjs08,3,4,9,0.5,0.1075,0.1176
sfjs09,3,3,9,0.6667,0.1169,0.1089
sfjs10,4,5,12,0.3333,0.0864,0.0667
