instance,seed,arm,budget,pop,max_gen,stall_gen,makespan,runtime_sec,generations,evaluations,stopped_by,valid,lower_bound
mfjs01-ideal,1,ideal,p100g200s30,100,200,30,485.0,0.754,35,3500,stall,True,407.0
mfjs01-ideal,2,ideal,p100g200s30,100,200,30,485.0,0.787,39,3900,stall,True,407.0
mfjs01-ideal,3,ideal,p100g200s30,100,200,30,485.0,0.949,47,4700,stall,True,407.0
mfjs01-ideal,4,ideal,p100g200s30,100,200,30,485.0,0.953,48,4800,stall,True,407.0
mfjs01-ideal,5,ideal,p100g200s30,100,200,30,485.0,0.792,39,3900,stall,True,407.0
mfjs01-ideal,6,ideal,p100g200s30,100,200,30,485.0,1.167,56,5600,stall,True,407.0
mfjs01-ideal,7,ideal,p100g200s30,100,200,30,485.0,0.797,39,3900,stall,True,407.0
mfjs01-ideal,8,ideal,p100g200s30,100,200,30,485.0,0.941,43,4300,stall,True,407.0
mfjs01-ideal,9,ideal,p100g200s30,100,200,30,485.0,0.807,39,3900,stall,True,407.0
mfjs01-ideal,10,ideal,p100g200s30,100,200,30,485.0,0.917,45,4500,stall,True,407.0
mfjs02-ideal,1,ideal,p100g200s30,100,200,30,479.0,0.835,40,4000,stall,True,402.0
mfjs02-ideal,2,ideal,p100g200s30,100,200,30,491.0,0.743,33,3300,stall,True,402.0
mfjs02-ideal,3,ideal,p100g200s30,100,200,30,476.0,0.874,38,3800,stall,True,402.0
mfjs02-ideal,4,ideal,p100g200s30,100,200,30,482.0,1.025,47,4700,stall,True,402.0
mfjs02-ideal,5,ideal,p100g200s30,100,200,30,476.0,0.882,42,4200,stall,True,402.0
mfjs02-ideal,6,ideal,p100g200s30,100,200,30,492.0,1.075,52,5200,stall,True,402.0
mfjs02-ideal,7,ideal,p100g200s30,100,200,30,481.0,1.086,47,4700,stall,True,402.0
mfjs02-ideal,8,ideal,p100g200s30,100,200,30,481.0,0.757,36,3600,stall,True,402.0
mfjs02-ideal,9,ideal,p100g200s30,100,200,30,492.0,0.704,35,3500,stall,True,402.0
mfjs02-ideal,10,ideal,p100g200s30,100,200,30,484.0,1.043,48,4800,stall,True,402.0
mfjs03-ideal,1,ideal,p100g200s30,100,200,30,482.0,2.303,90,9000,stall,True,402.0
