case,contention,arm,seed,makespan
A funnel,0.3194,B0,42,62.0000
A funnel,0.3194,B0,7,73.0000
A funnel,0.3194,B0,2024,68.0000
A funnel,0.3194,B0,13,49.0000
A funnel,0.3194,B0宽松,42,89.0000
A funnel,0.3194,B0宽松,7,93.0000
A funnel,0.3194,B0宽松,2024,64.0000
A funnel,0.3194,B0宽松,13,66.0000
A funnel,0.3194,B0+,42,58.0000
A funnel,0.3194,B0+,7,69.0000
A funnel,0.3194,B0+,2024,59.0000
A funnel,0.3194,B0+,13,48.0000
A funnel,0.3194,B1,42,49.0000
A funnel,0.3194,B1,7,49.0000
A funnel,0.3194,B1,2024,40.0000
A funnel,0.3194,B1,13,45.0000
A funnel,0.3194,B2,42,44.0000
A funnel,0.3194,B2,7,42.0000
A funnel,0.3194,B2,2024,42.0000
A funnel,0.3194,B2,13,43.0000
A low,0.1181,B0,42,61.0000
A low,0.1181,B0,7,63.0000
A low,0.1181,B0,2024,65.0000
A low,0.1181,B0,13,70.0000
A low,0.1181,B0宽松,42,62.0000
A low,0.1181,B0宽松,7,69.0000
A low,0.1181,B0宽松,2024,64.0000
A low,0.1181,B0宽松,13,71.0000
A low,0.1181,B0+,42,61.0000
A low,0.1181,B0+,7,63.0000
A low,0.1181,B0+,2024,73.0000
A low,0.1181,B0+,13,70.0000
A low,0.1181,B1,42,57.0000
A low,0.1181,B1,7,58.0000
A low,0.1181,B1,2024,55.0000
A low,0.1181,B1,13,61.0000
A low,0.1181,B2,42,61.0000
A low,0.1181,B2,7,58.0000
A low,0.1181,B2,2024,56.0000
A low,0.1181,B2,13,56.0000
A scatter,0.0664,B0,42,61.0000
A scatter,0.0664,B0,7,59.0000
A scatter,0.0664,B0,2024,64.0000
A scatter,0.0664,B0,13,66.0000
A scatter,0.0664,B0宽松,42,64.0000
A scatter,0.0664,B0宽松,7,65.0000
A scatter,0.0664,B0宽松,2024,75.0000
A scatter,0.0664,B0宽松,13,65.0000
A scatter,0.0664,B0+,42,62.0000
A scatter,0.0664,B0+,7,61.0000
A scatter,0.0664,B0+,2024,63.0000
A scatter,0.0664,B0+,13,61.0000
A scatter,0.0664,B1,42,60.0000
A scatter,0.0664,B1,7,55.0000
A scatter,0.0664,B1,2024,57.0000
A scatter,0.0664,B1,13,63.0000
A scatter,0.0664,B2,42,57.0000
A scatter,0.0664,B2,7,55.0000
A scatter,0.0664,B2,2024,57.0000
A scatter,0.0664,B2,13,59.0000
B NA/NM 0.5,0.1584,B0,42,64.0000
B NA/NM 0.5,0.1584,B0,7,74.0000
B NA/NM 0.5,0.1584,B0,2024,70.0000
B NA/NM 0.5,0.1584,B0,13,63.0000
B NA/NM 0.5,0.1584,B0宽松,42,74.0000
B NA/NM 0.5,0.1584,B0宽松,7,84.0000
B NA/NM 0.5,0.1584,B0宽松,2024,70.0000
B NA/NM 0.5,0.1584,B0宽松,13,66.0000
B NA/NM 0.5,0.1584,B0+,42,64.0000
B NA/NM 0.5,0.1584,B0+,7,81.0000
B NA/NM 0.5,0.1584,B0+,2024,69.0000
B NA/NM 0.5,0.1584,B0+,13,61.0000
B NA/NM 0.5,0.1584,B1,42,75.0000
B NA/NM 0.5,0.1584,B1,7,74.0000
B NA/NM 0.5,0.1584,B1,2024,63.0000
B NA/NM 0.5,0.1584,B1,13,81.0000
B NA/NM 0.5,0.1584,B2,42,61.0000
B NA/NM 0.5,0.1584,B2,7,68.0000
B NA/NM 0.5,0.1584,B2,2024,67.0000
B NA/NM 0.5,0.1584,B2,13,57.0000
C F=1.0,0.3353,B0,42,57.0000
C F=1.0,0.3353,B0,7,55.0000
C F=1.0,0.3353,B0,2024,52.0000
C F=1.0,0.3353,B0,13,64.0000
C F=1.0,0.3353,B0宽松,42,55.0000
C F=1.0,0.3353,B0宽松,7,63.0000
C F=1.0,0.3353,B0宽松,2024,68.0000
C F=1.0,0.3353,B0宽松,13,72.0000
C F=1.0,0.3353,B0+,42,49.0000
C F=1.0,0.3353,B0+,7,51.0000
C F=1.0,0.3353,B0+,2024,43.0000
C F=1.0,0.3353,B0+,13,62.0000
C F=1.0,0.3353,B1,42,43.0000
C F=1.0,0.3353,B1,7,36.0000
C F=1.0,0.3353,B1,2024,38.0000
C F=1.0,0.3353,B1,13,41.0000
C F=1.0,0.3353,B2,42,36.0000
C F=1.0,0.3353,B2,7,36.0000
C F=1.0,0.3353,B2,2024,35.0000
C F=1.0,0.3353,B2,13,38.0000
