case,arm,seed,t_sec,best
A funnel,B0,42,0.057,45.0000
A funnel,B0,42,0.129,37.0000
A funnel,B0,42,0.185,37.0000
A funnel,B0,42,0.230,37.0000
A funnel,B0,42,0.271,37.0000
A funnel,B0,42,0.317,37.0000
A funnel,B0,42,0.355,37.0000
A funnel,B0,42,0.395,36.0000
A funnel,B0,42,0.437,36.0000
A funnel,B0,42,0.477,36.0000
A funnel,B0,42,0.514,36.0000
A funnel,B0,42,0.552,36.0000
A funnel,B0,42,0.594,36.0000
A funnel,B0,42,0.634,36.0000
A funnel,B0,42,0.678,35.0000
A funnel,B0,42,0.740,35.0000
A funnel,B0,42,0.807,35.0000
A funnel,B0,42,0.875,35.0000
A funnel,B0,42,0.925,35.0000
A funnel,B0,42,0.972,34.0000
A funnel,B0,42,1.008,34.0000
A funnel,B0,42,1.044,34.0000
A funnel,B0,42,1.078,34.0000
A funnel,B0,42,1.116,34.0000
A funnel,B0,42,1.150,34.0000
A funnel,B0,42,1.184,34.0000
A funnel,B0,42,1.218,34.0000
A funnel,B0,42,1.256,34.0000
A funnel,B0,42,1.290,34.0000
A funnel,B0,42,1.330,33.0000
A funnel,B0,42,1.364,33.0000
A funnel,B0,42,1.405,33.0000
A funnel,B0,42,1.442,33.0000
A funnel,B0,42,1.477,33.0000
A funnel,B0,42,1.513,33.0000
A funnel,B0,42,1.551,33.0000
A funnel,B0,42,1.588,33.0000
A funnel,B0,42,1.627,33.0000
A funnel,B0,42,1.665,33.0000
A funnel,B0,42,1.701,33.0000
A funnel,B0,42,1.743,33.0000
A funnel,B0,42,1.789,33.0000
A funnel,B0,42,1.828,33.0000
A funnel,B0,42,1.867,33.0000
A funnel,B0,42,1.911,33.0000
A funnel,B0,42,1.951,33.0000
A funnel,B0,42,1.993,33.0000
A funnel,B0,42,2.032,33.0000
A funnel,B0,42,2.070,33.0000
A funnel,B0,42,2.113,33.0000
A funnel,B0,42,2.150,33.0000
A funnel,B0,42,2.189,33.0000
A funnel,B0,42,2.228,33.0000
A funnel,B0,42,2.272,33.0000
A funnel,B0,42,2.312,33.0000
A funnel,B0,42,2.350,33.0000
A funnel,B0,42,2.387,33.0000
A funnel,B0,42,2.430,33.0000
A funnel,B0,42,2.467,33.0000
A funnel,B0,42,2.507,33.0000
A funnel,B0,42,2.546,33.0000
A funnel,B0,42,2.590,33.0000
A funnel,B0,42,2.630,33.0000
A funnel,B0,42,2.673,33.0000
A funnel,B0,42,2.717,33.0000
A funnel,B0,42,2.756,33.0000
A funnel,B0,42,2.798,33.0000
A funnel,B0,42,2.834,33.0000
A funnel,B0,42,2.867,33.0000
A funnel,B0,42,2.903,33.0000
A funnel,B0,42,2.941,33.0000
A funnel,B0,42,2.978,33.0000
A funnel,B0,42,3.017,33.0000
A funnel,B0,42,3.055,33.0000
A funnel,B0,42,3.095,33.0000
