case,contention,arm,seed,decodes,runtime_sec,ms_per_eval,makespan,surrogate
A funnel,0.3194,B0,42,43618,19.22,0.4406,62.0000,31.0000
A funnel,0.3194,B0+,42,43618,19.22,0.4406,58.0000,31.0000
A funnel,0.3194,B1,42,33286,90.23,2.7107,49.0000,
A funnel,0.3194,B2,42,5059,91.24,18.0352,44.0000,
A funnel,0.3194,B0,7,61907,26.17,0.4227,73.0000,34.0000
A funnel,0.3194,B0+,7,61907,26.17,0.4227,69.0000,34.0000
A funnel,0.3194,B1,7,30015,90.26,3.0072,49.0000,
A funnel,0.3194,B2,7,4653,91.06,19.5702,42.0000,
A funnel,0.3194,B0,2024,34785,15.26,0.4387,68.0000,32.0000
A funnel,0.3194,B0+,2024,34785,15.26,0.4387,59.0000,32.0000
A funnel,0.3194,B1,2024,39022,90.01,2.3066,40.0000,
A funnel,0.3194,B2,2024,4921,90.13,18.3154,42.0000,
A mid,0.1081,B0,42,43618,18.95,0.4345,56.0000,31.0000
A mid,0.1081,B0+,42,43618,18.95,0.4345,44.0000,31.0000
A mid,0.1081,B1,42,29960,90.12,3.0080,37.0000,
A mid,0.1081,B2,42,4538,90.14,19.8634,35.0000,
A mid,0.1081,B0,7,61907,25.46,0.4113,45.0000,34.0000
A mid,0.1081,B0+,7,61907,25.46,0.4113,44.0000,34.0000
A mid,0.1081,B1,7,30946,90.04,2.9096,40.0000,
A mid,0.1081,B2,7,5303,90.65,17.0941,38.0000,
A mid,0.1081,B0,2024,34785,15.07,0.4332,49.0000,32.0000
A mid,0.1081,B0+,2024,34785,15.07,0.4332,52.0000,32.0000
A mid,0.1081,B1,2024,31036,90.10,2.9031,40.0000,
A mid,0.1081,B2,2024,5273,90.97,17.2520,40.0000,
B NA/NM 0.5,0.1584,B0,42,39682,10.97,0.2764,64.0000,55.0000
B NA/NM 0.5,0.1584,B0+,42,39682,10.97,0.2764,64.0000,55.0000
B NA/NM 0.5,0.1584,B1,42,35625,90.06,2.5280,75.0000,
B NA/NM 0.5,0.1584,B2,42,15467,90.26,5.8357,61.0000,
B NA/NM 0.5,0.1584,B0,7,56568,15.70,0.2775,74.0000,53.0000
B NA/NM 0.5,0.1584,B0+,7,56568,15.70,0.2775,81.0000,53.0000
B NA/NM 0.5,0.1584,B1,7,34101,90.12,2.6427,74.0000,
B NA/NM 0.5,0.1584,B2,7,15440,90.41,5.8556,68.0000,
B NA/NM 0.5,0.1584,B0,2024,40198,11.85,0.2948,70.0000,56.0000
B NA/NM 0.5,0.1584,B0+,2024,40198,11.85,0.2948,69.0000,56.0000
B NA/NM 0.5,0.1584,B1,2024,38723,90.12,2.3273,63.0000,
B NA/NM 0.5,0.1584,B2,2024,16206,90.16,5.5634,67.0000,
