case,contention,arm,seed,makespan,decodes,ms_per_eval
A funnel,0.3194,开,42,44.0000,4879,18.5017
A funnel,0.3194,开,7,43.0000,4341,20.8408
A funnel,0.3194,开,2024,42.0000,4831,18.9360
A funnel,0.3194,开,13,43.0000,5611,16.1896
A funnel,0.3194,开,1,39.0000,5024,18.0334
A funnel,0.3194,开,99,41.0000,4975,18.3859
A funnel,0.3194,开,123,40.0000,3939,23.2191
A funnel,0.3194,开,777,38.0000,3724,24.7046
A funnel,0.3194,开,31415,44.0000,3647,24.9328
A funnel,0.3194,开,8,47.0000,3575,25.2336
A funnel,0.3194,关,42,45.0000,2269,40.5333
A funnel,0.3194,关,7,44.0000,2307,39.3108
A funnel,0.3194,关,2024,43.0000,2221,41.2472
A funnel,0.3194,关,13,47.0000,2185,41.9405
A funnel,0.3194,关,1,41.0000,2312,39.0095
A funnel,0.3194,关,99,44.0000,2095,43.2220
A funnel,0.3194,关,123,41.0000,1813,51.5885
A funnel,0.3194,关,777,49.0000,1619,56.4670
A funnel,0.3194,关,31415,45.0000,1666,55.4742
A funnel,0.3194,关,8,49.0000,1641,57.4528
A high,0.3095,开,42,42.0000,3296,27.7367
A high,0.3095,开,7,38.0000,3894,23.5516
A high,0.3095,开,2024,38.0000,3866,23.6549
A high,0.3095,开,13,36.0000,4495,20.3404
A high,0.3095,开,1,34.0000,4431,20.3318
A high,0.3095,开,99,40.0000,4236,21.3810
A high,0.3095,开,123,40.0000,3621,24.9600
A high,0.3095,开,777,37.0000,4025,22.5938
A high,0.3095,开,31415,36.0000,3855,23.4475
A high,0.3095,开,8,36.0000,4146,21.9730
A high,0.3095,关,42,45.0000,1513,59.9802
A high,0.3095,关,7,39.0000,1707,53.3040
A high,0.3095,关,2024,42.0000,1594,56.4680
A high,0.3095,关,13,41.0000,1683,53.7671
A high,0.3095,关,1,37.0000,1725,54.0696
A high,0.3095,关,99,41.0000,1743,52.4957
A high,0.3095,关,123,47.0000,1712,55.1811
A high,0.3095,关,777,42.0000,1574,57.2554
A high,0.3095,关,31415,43.0000,1720,54.4244
A high,0.3095,关,8,39.0000,1642,57.0158
A low,0.1181,开,42,61.0000,3538,25.6133
A low,0.1181,开,7,58.0000,3655,24.7004
A low,0.1181,开,2024,56.0000,4198,21.8866
A low,0.1181,开,13,56.0000,3694,24.8890
A low,0.1181,开,1,57.0000,3911,23.2830
A low,0.1181,开,99,62.0000,3309,27.3738
A low,0.1181,开,123,55.0000,3832,23.8413
A low,0.1181,开,777,56.0000,4323,21.0780
A low,0.1181,开,31415,55.0000,4851,18.5982
A low,0.1181,开,8,54.0000,4271,21.1637
A low,0.1181,关,42,63.0000,1286,70.4510
A low,0.1181,关,7,62.0000,1404,67.7350
A low,0.1181,关,2024,59.0000,1419,64.2283
A low,0.1181,关,13,60.0000,1372,65.7507
A low,0.1181,关,1,61.0000,1388,68.3357
A low,0.1181,关,99,63.0000,1329,71.0986
A low,0.1181,关,123,59.0000,1603,57.2302
A low,0.1181,关,777,58.0000,1638,56.4591
A low,0.1181,关,31415,63.0000,1319,68.6429
A low,0.1181,关,8,57.0000,1450,62.2690
B NA/NM 0.5,0.1584,开,42,61.0000,13835,6.5211
B NA/NM 0.5,0.1584,开,7,68.0000,13808,6.5643
B NA/NM 0.5,0.1584,开,2024,67.0000,15288,5.8974
B NA/NM 0.5,0.1584,开,13,57.0000,16818,5.3615
B NA/NM 0.5,0.1584,开,1,79.0000,13018,6.9573
B NA/NM 0.5,0.1584,开,99,63.0000,15490,5.8238
B NA/NM 0.5,0.1584,开,123,68.0000,14144,6.4020
B NA/NM 0.5,0.1584,开,777,57.0000,16418,5.5025
B NA/NM 0.5,0.1584,开,31415,70.0000,16130,5.5945
B NA/NM 0.5,0.1584,开,8,61.0000,17597,5.1179
B NA/NM 0.5,0.1584,关,42,61.0000,7103,12.7918
B NA/NM 0.5,0.1584,关,7,68.0000,6668,13.5483
B NA/NM 0.5,0.1584,关,2024,67.0000,7230,12.4578
B NA/NM 0.5,0.1584,关,13,57.0000,7950,11.4138
B NA/NM 0.5,0.1584,关,1,79.0000,6356,14.3329
B NA/NM 0.5,0.1584,关,99,69.0000,7022,12.9037
B NA/NM 0.5,0.1584,关,123,68.0000,7106,12.6808
B NA/NM 0.5,0.1584,关,777,61.0000,8074,11.1667
B NA/NM 0.5,0.1584,关,31415,76.0000,6845,13.2213
B NA/NM 0.5,0.1584,关,8,61.0000,7900,11.4367
B NA/NM 1.0,0.3020,开,42,45.0000,8608,10.5263
B NA/NM 1.0,0.3020,开,7,56.0000,6950,12.9871
B NA/NM 1.0,0.3020,开,2024,49.0000,9314,9.7112
B NA/NM 1.0,0.3020,开,13,49.0000,8799,10.2353
B NA/NM 1.0,0.3020,开,1,47.0000,6764,13.4077
B NA/NM 1.0,0.3020,开,99,50.0000,7584,11.9792
B NA/NM 1.0,0.3020,开,123,44.0000,8289,10.8976
B NA/NM 1.0,0.3020,开,777,45.0000,8037,11.2306
B NA/NM 1.0,0.3020,开,31415,47.0000,7759,11.6639
B NA/NM 1.0,0.3020,开,8,57.0000,6907,13.1953
B NA/NM 1.0,0.3020,关,42,45.0000,4018,22.7750
B NA/NM 1.0,0.3020,关,7,57.0000,3380,26.7751
B NA/NM 1.0,0.3020,关,2024,50.0000,3626,25.3172
B NA/NM 1.0,0.3020,关,13,57.0000,3390,27.0206
B NA/NM 1.0,0.3020,关,1,47.0000,3398,26.5156
B NA/NM 1.0,0.3020,关,99,52.0000,3292,27.4423
B NA/NM 1.0,0.3020,关,123,47.0000,3502,25.8252
B NA/NM 1.0,0.3020,关,777,58.0000,2953,31.5374
B NA/NM 1.0,0.3020,关,31415,48.0000,3203,28.2235
B NA/NM 1.0,0.3020,关,8,58.0000,3475,26.3194
B NA/NM 2.0,0.3238,开,42,45.0000,3470,26.4669
B NA/NM 2.0,0.3238,开,7,42.0000,3189,28.7676
B NA/NM 2.0,0.3238,开,2024,43.0000,3340,27.5539
B NA/NM 2.0,0.3238,开,13,45.0000,3346,27.0383
B NA/NM 2.0,0.3238,开,1,41.0000,3097,29.5092
B NA/NM 2.0,0.3238,开,99,39.0000,3207,28.6436
B NA/NM 2.0,0.3238,开,123,39.0000,3677,24.8055
B NA/NM 2.0,0.3238,开,777,41.0000,3201,28.4161
B NA/NM 2.0,0.3238,开,31415,41.0000,3137,28.7217
B NA/NM 2.0,0.3238,开,8,46.0000,3214,28.5096
B NA/NM 2.0,0.3238,关,42,45.0000,1719,53.1937
B NA/NM 2.0,0.3238,关,7,44.0000,1666,54.7599
B NA/NM 2.0,0.3238,关,2024,45.0000,1598,58.2791
B NA/NM 2.0,0.3238,关,13,46.0000,1505,63.0698
B NA/NM 2.0,0.3238,关,1,42.0000,1562,59.8207
B NA/NM 2.0,0.3238,关,99,43.0000,1705,53.1554
B NA/NM 2.0,0.3238,关,123,40.0000,1786,50.9854
B NA/NM 2.0,0.3238,关,777,49.0000,1655,55.5287
B NA/NM 2.0,0.3238,关,31415,43.0000,1725,53.6406
B NA/NM 2.0,0.3238,关,8,48.0000,1645,56.4316
