instance,tag,het,arm,n,mean,sd,median,best,worst,mean_sec,mean_evals,ms_per_eval,stopped_by,lower_bound,gap_upper
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,rule,10,179.0,0.0,179.0,179.0,179.0,,,,,39.75,0.7779
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,10,84.3,7.134,83.0,75.0,97.0,47.67,126000,0.378,budget,39.75,0.5285
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,10,78.2,3.645,77.0,74.0,86.0,47.8,5622,8.502,budget,39.75,0.4917
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,10,77.0,3.018,78.0,71.0,81.0,47.72,17082,2.794,budget,39.75,0.4838
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,10,75.4,3.239,75.0,72.0,82.0,47.68,26778,1.781,budget,39.75,0.4728
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nostagger,10,78.5,4.403,78.0,71.0,87.0,48.02,3816,12.585,budget,39.75,0.4936
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,closed,10,78.0,4.372,78.0,69.0,85.0,48.02,3564,13.474,budget,39.75,0.4904
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,priced,10,82.8,2.898,82.5,79.0,87.0,49.94,678,73.655,budget,39.75,0.5199
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,rule,10,144.0,0.0,144.0,144.0,144.0,,,,,36.0,0.75
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,twostage,10,81.4,4.377,82.0,76.0,89.0,47.45,126060,0.376,budget,36.0,0.5577
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,nofeedback,10,77.6,2.914,78.0,73.0,83.0,47.7,5634,8.466,budget,36.0,0.5361
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,opendispatch,10,78.0,2.906,77.5,75.0,83.0,47.53,16224,2.93,budget,36.0,0.5385
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,opendispatch_nols,10,76.6,3.502,76.5,72.0,84.0,47.51,26154,1.817,budget,36.0,0.53
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,nostagger,10,77.0,2.494,77.0,74.0,82.0,47.79,3846,12.425,budget,36.0,0.5325
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,closed,10,77.4,2.119,77.5,74.0,80.0,47.84,3462,13.818,budget,36.0,0.5349
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,priced,10,83.8,2.044,83.5,81.0,88.0,49.52,660,75.029,budget,36.0,0.5704
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,rule,10,130.0,0.0,130.0,130.0,130.0,,,,,32.0,0.7538
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,twostage,10,82.5,5.017,83.0,75.0,90.0,60.44,156498,0.386,budget,32.0,0.6121
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,nofeedback,10,76.3,2.003,76.5,73.0,79.0,60.67,6930,8.754,budget,32.0,0.5806
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,opendispatch,10,76.7,3.335,76.0,71.0,82.0,60.51,20952,2.888,budget,32.0,0.5828
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,opendispatch_nols,10,75.0,3.127,76.0,68.0,79.0,60.47,33930,1.782,budget,32.0,0.5733
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,nostagger,10,76.9,1.663,77.0,75.0,80.0,60.88,4710,12.926,budget,32.0,0.5839
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,closed,10,77.1,3.247,76.0,72.0,82.0,60.94,4422,13.781,budget,32.0,0.585
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,priced,10,81.0,3.3,81.5,75.0,86.0,61.89,816,75.841,budget,32.0,0.6049
S8x4x4-LG21-H0.5-F0.6-A4-s42,low,0.5,rule,10,130.0,0.0,130.0,130.0,130.0,,,,,27.0,0.7923
S8x4x4-LG21-H0.5-F0.6-A4-s42,low,0.5,twostage,10,83.4,6.204,83.5,75.0,91.0,55.45,142266,0.39,budget,27.0,0.6763
S8x4x4-LG21-H0.5-F0.6-A4-s42,low,0.5,nofeedback,10,76.0,1.944,75.5,73.0,79.0,55.68,6204,8.975,budget,27.0,0.6447
S8x4x4-LG21-H0.5-F0.6-A4-s42,low,0.5,opendispatch,10,75.7,2.003,75.5,72.0,79.0,55.53,18816,2.951,budget,27.0,0.6433
S8x4x4-LG21-H0.5-F0.6-A4-s42,low,0.5,opendispatch_nols,10,74.3,2.111,74.0,71.0,78.0,55.5,30318,1.831,budget,27.0,0.6366
S8x4x4-LG21-H0.5-F0.6-A4-s42,low,0.5,nostagger,10,77.8,3.048,77.0,74.0,84.0,55.79,4146,13.456,budget,27.0,0.653
S8x4x4-LG21-H0.5-F0.6-A4-s42,low,0.5,closed,10,76.6,3.748,76.0,73.0,84.0,55.92,3762,14.866,budget,27.0,0.6475
S8x4x4-LG21-H0.5-F0.6-A4-s42,low,0.5,priced,10,80.6,2.675,81.0,76.0,84.0,56.95,744,76.551,budget,27.0,0.665
S8x4x4-LD22-H0-F0.6-A4-s42,mid,0.0,rule,10,187.0,0.0,187.0,187.0,187.0,,,,,44.75,0.7607
S8x4x4-LD22-H0-F0.6-A4-s42,mid,0.0,twostage,10,74.1,5.021,74.5,66.0,84.0,72.94,186090,0.392,budget,44.75,0.3961
S8x4x4-LD22-H0-F0.6-A4-s42,mid,0.0,nofeedback,10,69.9,3.635,70.0,64.0,76.0,73.28,7218,10.152,budget,44.75,0.3598
S8x4x4-LD22-H0-F0.6-A4-s42,mid,0.0,opendispatch,10,71.7,4.191,70.5,67.0,78.0,73.04,20988,3.48,budget,44.75,0.3759
S8x4x4-LD22-H0-F0.6-A4-s42,mid,0.0,opendispatch_nols,10,71.5,2.838,71.0,69.0,78.0,72.99,31344,2.329,budget,44.75,0.3741
S8x4x4-LD22-H0-F0.6-A4-s42,mid,0.0,nostagger,10,72.8,2.741,72.5,69.0,78.0,73.38,4638,15.822,budget,44.75,0.3853
S8x4x4-LD22-H0-F0.6-A4-s42,mid,0.0,closed,10,73.4,2.221,74.0,68.0,75.0,73.59,4362,16.87,budget,44.75,0.3903
S8x4x4-LD22-H0-F0.6-A4-s42,mid,0.0,priced,10,78.1,4.332,77.5,73.0,87.0,75.41,882,85.505,budget,44.75,0.427
S8x4x4-LD22-H0.15-F0.6-A4-s42,mid,0.15,rule,10,137.0,0.0,137.0,137.0,137.0,,,,,38.75,0.7172
S8x4x4-LD22-H0.15-F0.6-A4-s42,mid,0.15,twostage,10,72.8,4.566,71.5,67.0,81.0,49.54,127866,0.387,budget,38.75,0.4677
S8x4x4-LD22-H0.15-F0.6-A4-s42,mid,0.15,nofeedback,10,69.8,1.687,69.0,68.0,73.0,49.81,4716,10.563,budget,38.75,0.4448
S8x4x4-LD22-H0.15-F0.6-A4-s42,mid,0.15,opendispatch,10,69.9,2.47,70.0,66.0,74.0,49.61,14550,3.41,budget,38.75,0.4456
S8x4x4-LD22-H0.15-F0.6-A4-s42,mid,0.15,opendispatch_nols,10,69.7,1.767,69.5,67.0,72.0,49.59,22596,2.195,budget,38.75,0.444
S8x4x4-LD22-H0.15-F0.6-A4-s42,mid,0.15,nostagger,10,69.6,2.757,70.5,64.0,73.0,49.98,3210,15.569,budget,38.75,0.4432
S8x4x4-LD22-H0.15-F0.6-A4-s42,mid,0.15,closed,10,69.2,2.741,68.5,65.0,75.0,49.95,2976,16.786,budget,38.75,0.44
S8x4x4-LD22-H0.15-F0.6-A4-s42,mid,0.15,priced,10,77.4,3.373,76.5,75.0,86.0,52.1,612,85.137,budget,38.75,0.4994
S8x4x4-LD22-H0.3-F0.6-A4-s42,mid,0.3,rule,10,123.0,0.0,123.0,123.0,123.0,,,,,31.25,0.7459
S8x4x4-LD22-H0.3-F0.6-A4-s42,mid,0.3,twostage,10,70.9,3.281,72.0,65.0,74.0,37.79,97908,0.386,budget,31.25,0.5592
S8x4x4-LD22-H0.3-F0.6-A4-s42,mid,0.3,nofeedback,10,69.1,3.315,69.5,62.0,73.0,38.04,3510,10.838,budget,31.25,0.5478
S8x4x4-LD22-H0.3-F0.6-A4-s42,mid,0.3,opendispatch,10,68.2,2.348,69.0,65.0,72.0,37.89,10902,3.476,budget,31.25,0.5418
S8x4x4-LD22-H0.3-F0.6-A4-s42,mid,0.3,opendispatch_nols,10,67.6,2.366,66.5,65.0,72.0,37.83,17562,2.154,budget,31.25,0.5377
S8x4x4-LD22-H0.3-F0.6-A4-s42,mid,0.3,nostagger,10,70.2,3.676,69.0,67.0,78.0,38.19,2364,16.153,budget,31.25,0.5548
S8x4x4-LD22-H0.3-F0.6-A4-s42,mid,0.3,closed,10,70.5,4.453,69.0,66.0,81.0,38.2,2244,17.023,budget,31.25,0.5567
S8x4x4-LD22-H0.3-F0.6-A4-s42,mid,0.3,priced,10,77.7,3.129,78.0,73.0,83.0,41.01,450,91.142,budget,31.25,0.5978
S8x4x4-LD22-H0.5-F0.6-A4-s42,mid,0.5,rule,10,122.0,0.0,122.0,122.0,122.0,,,,,25.0,0.7951
S8x4x4-LD22-H0.5-F0.6-A4-s42,mid,0.5,twostage,10,66.5,3.274,67.0,61.0,71.0,46.68,122520,0.381,budget,25.0,0.6241
S8x4x4-LD22-H0.5-F0.6-A4-s42,mid,0.5,nofeedback,10,65.2,2.781,65.5,60.0,69.0,47.0,4524,10.39,budget,25.0,0.6166
S8x4x4-LD22-H0.5-F0.6-A4-s42,mid,0.5,opendispatch,10,64.9,2.514,65.0,61.0,70.0,46.77,13956,3.351,budget,25.0,0.6148
S8x4x4-LD22-H0.5-F0.6-A4-s42,mid,0.5,opendispatch_nols,10,63.6,2.951,64.5,60.0,68.0,46.74,22716,2.058,budget,25.0,0.6069
S8x4x4-LD22-H0.5-F0.6-A4-s42,mid,0.5,nostagger,10,66.5,1.9,66.0,64.0,69.0,47.11,2946,15.99,budget,25.0,0.6241
S8x4x4-LD22-H0.5-F0.6-A4-s42,mid,0.5,closed,10,64.6,2.503,64.0,61.0,69.0,47.03,2772,16.965,budget,25.0,0.613
S8x4x4-LD22-H0.5-F0.6-A4-s42,mid,0.5,priced,10,71.4,2.633,71.0,67.0,76.0,48.97,546,89.687,budget,25.0,0.6499
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,rule,10,187.0,0.0,187.0,187.0,187.0,,,,,44.75,0.7607
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,twostage,10,80.5,6.294,80.0,69.0,92.0,40.81,95652,0.427,budget,44.75,0.4441
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,nofeedback,10,73.1,2.331,73.0,70.0,77.0,41.08,4104,10.01,budget,44.75,0.3878
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,opendispatch,10,75.0,4.989,73.5,69.0,83.0,40.92,11844,3.454,budget,44.75,0.4033
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,opendispatch_nols,10,71.0,2.449,71.0,68.0,74.0,40.86,19272,2.12,budget,44.75,0.3697
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,nostagger,10,75.3,5.143,74.5,70.0,85.0,41.27,2616,15.776,budget,44.75,0.4057
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,closed,10,73.9,5.152,73.5,68.0,84.0,41.15,2418,17.018,budget,44.75,0.3945
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,priced,10,83.4,3.34,84.0,77.0,89.0,43.31,516,83.926,budget,44.75,0.4634
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,rule,10,151.0,0.0,151.0,151.0,151.0,,,,,38.75,0.7434
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,twostage,10,78.2,2.573,78.0,73.0,81.0,42.21,107160,0.394,budget,38.75,0.5045
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,nofeedback,10,71.3,2.983,72.0,67.0,75.0,42.56,4464,9.534,budget,38.75,0.4565
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,opendispatch,10,72.6,2.757,72.0,67.0,77.0,42.3,13032,3.246,budget,38.75,0.4663
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,opendispatch_nols,10,71.8,3.048,72.0,67.0,78.0,42.25,20154,2.096,budget,38.75,0.4603
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,nostagger,10,72.5,3.375,72.5,67.0,79.0,42.61,2970,14.345,budget,38.75,0.4655
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,closed,10,72.5,3.44,71.5,68.0,79.0,42.74,2790,15.32,budget,38.75,0.4655
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,priced,10,81.6,3.134,81.0,78.0,88.0,44.19,582,75.931,budget,38.75,0.5251
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,rule,10,133.0,0.0,133.0,133.0,133.0,,,,,31.25,0.765
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,twostage,10,77.4,6.501,79.0,63.0,86.0,46.73,119358,0.391,budget,31.25,0.5963
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,nofeedback,10,69.8,2.15,69.5,67.0,73.0,47.02,5064,9.285,budget,31.25,0.5523
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,opendispatch,10,70.6,2.797,70.5,67.0,75.0,46.81,14574,3.212,budget,31.25,0.5574
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,opendispatch_nols,10,68.7,2.791,69.5,64.0,72.0,46.78,22290,2.099,budget,31.25,0.5451
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,nostagger,10,69.2,2.53,69.0,66.0,73.0,47.02,3300,14.247,budget,31.25,0.5484
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,closed,10,70.8,4.367,70.5,66.0,82.0,47.1,2994,15.733,budget,31.25,0.5586
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,priced,10,76.0,5.142,75.5,66.0,84.0,49.25,618,79.689,budget,31.25,0.5888
S8x4x4-LD21-H0.5-F0.6-A4-s42,high,0.5,rule,10,131.0,0.0,131.0,131.0,131.0,,,,,25.0,0.8092
S8x4x4-LD21-H0.5-F0.6-A4-s42,high,0.5,twostage,10,70.3,4.001,70.0,66.0,79.0,50.34,129732,0.388,budget,25.0,0.6444
S8x4x4-LD21-H0.5-F0.6-A4-s42,high,0.5,nofeedback,10,64.7,2.312,65.0,61.0,69.0,50.52,5424,9.314,budget,25.0,0.6136
S8x4x4-LD21-H0.5-F0.6-A4-s42,high,0.5,opendispatch,10,67.4,3.34,67.5,63.0,72.0,50.42,16290,3.095,budget,25.0,0.6291
S8x4x4-LD21-H0.5-F0.6-A4-s42,high,0.5,opendispatch_nols,10,64.6,3.169,65.0,61.0,71.0,50.37,24372,2.067,budget,25.0,0.613
S8x4x4-LD21-H0.5-F0.6-A4-s42,high,0.5,nostagger,10,66.5,4.601,65.5,58.0,73.0,50.71,3636,13.946,budget,25.0,0.6241
S8x4x4-LD21-H0.5-F0.6-A4-s42,high,0.5,closed,10,67.9,4.771,66.5,62.0,79.0,50.85,3174,16.022,budget,25.0,0.6318
