instance,tag,het,baseline,kind,n_pairs,baseline_mean,closed_mean,rel_gain,gain_sd,n_eff,p_value,method
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,twostage,integration,10,84.3,78.0,0.0711,0.065,10,0.01412,normal
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nofeedback,mechanism,10,78.2,78.0,0.00155,0.058,9,0.95268,normal
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch,mechanism,10,77.0,78.0,-0.01326,0.048,7,0.44524,normal
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,opendispatch_nols,mechanism,10,75.4,78.0,-0.03495,0.051,7,0.0754,normal
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,nostagger,mechanism,10,78.5,78.0,0.00346,0.083,9,0.5501,normal
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,twostage,integration,10,81.4,77.4,0.04709,0.048,10,0.01412,normal
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,nofeedback,mechanism,10,77.6,77.4,0.00148,0.043,8,0.72564,normal
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,opendispatch,mechanism,10,78.0,77.4,0.00663,0.042,10,0.60819,normal
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,opendispatch_nols,mechanism,10,76.6,77.4,-0.01172,0.039,9,0.47486,normal
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,nostagger,mechanism,10,77.0,77.4,-0.00569,0.029,7,0.55198,normal
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,twostage,integration,10,82.5,77.1,0.06207,0.073,9,0.05693,normal
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,nofeedback,mechanism,10,76.3,77.1,-0.01089,0.046,8,0.72433,normal
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,opendispatch,mechanism,10,76.7,77.1,-0.00738,0.069,9,0.81254,normal
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,opendispatch_nols,mechanism,10,75.0,77.1,-0.03037,0.075,8,0.26203,normal
