instance,congestion_tag,target_heterogeneity,heterogeneity,target_flexibility,flexibility,Tt_over_Tp,NA_over_NM,num_jobs,num_machines,num_agvs,num_real_ops,num_nodes,num_corridors,funnel_share,lu_min_cut,far_group_cut,job_chain,machine_load,lu_cut,lower_bound,budget_sec
S8x4x4-LG21-H0-F0.6-A4-s42,low,0.0,0.0,0.6,0.5833,0.9909,1.0,8,4,4,24,9,12,0.3333,2,2,39.0,39.75,24.0,39.75,47.65
S8x4x4-LG21-H0.15-F0.6-A4-s42,low,0.15,0.143,0.6,0.5833,1.0071,1.0,8,4,4,24,9,12,0.3333,2,2,36.0,33.25,24.0,36.0,47.44
S8x4x4-LG21-H0.3-F0.6-A4-s42,low,0.3,0.3127,0.6,0.5833,1.0071,1.0,8,4,4,24,9,12,0.3333,2,2,32.0,26.25,24.0,32.0,60.42
S8x4x4-LG21-H0.5-F0.6-A4-s42,low,0.5,0.5073,0.6,0.5833,0.9989,1.0,8,4,4,24,9,12,0.3333,2,2,27.0,18.0,24.0,27.0,55.44
S8x4x4-LD22-H0-F0.6-A4-s42,mid,0.0,0.0,0.6,0.5833,1.0158,1.0,8,4,4,24,11,12,0.2857,2,2,38.0,44.75,8.0,44.75,72.93
S8x4x4-LD22-H0.15-F0.6-A4-s42,mid,0.15,0.1392,0.6,0.5833,0.9967,1.0,8,4,4,24,11,12,0.2857,2,2,34.0,38.75,8.0,38.75,49.52
S8x4x4-LD22-H0.3-F0.6-A4-s42,mid,0.3,0.2879,0.6,0.5833,0.9991,1.0,8,4,4,24,11,12,0.2857,2,2,30.0,31.25,8.0,31.25,37.77
S8x4x4-LD22-H0.5-F0.6-A4-s42,mid,0.5,0.4996,0.6,0.5833,0.9991,1.0,8,4,4,24,11,12,0.2857,2,2,25.0,21.25,8.0,25.0,46.67
S8x4x4-LD21-H0-F0.6-A4-s42,high,0.0,0.0,0.6,0.5833,1.0158,1.0,8,4,4,24,10,10,0.2857,2,1,38.0,44.75,8.0,44.75,40.79
S8x4x4-LD21-H0.15-F0.6-A4-s42,high,0.15,0.1392,0.6,0.5833,0.9967,1.0,8,4,4,24,10,10,0.2857,2,1,34.0,38.75,8.0,38.75,42.19
S8x4x4-LD21-H0.3-F0.6-A4-s42,high,0.3,0.2879,0.6,0.5833,0.9991,1.0,8,4,4,24,10,10,0.2857,2,1,30.0,31.25,8.0,31.25,46.71
S8x4x4-LD21-H0.5-F0.6-A4-s42,high,0.5,0.4996,0.6,0.5833,0.9991,1.0,8,4,4,24,10,10,0.2857,2,1,25.0,21.25,8.0,25.0,50.32
S8x4x4-LD11-H0-F0.6-A4-s42,funnel,0.0,0.0,0.6,0.5833,1.0158,1.0,8,4,4,24,9,8,0.2857,1,1,38.0,44.75,16.0,44.75,46.6
S8x4x4-LD11-H0.15-F0.6-A4-s42,funnel,0.15,0.1392,0.6,0.5833,0.9967,1.0,8,4,4,24,9,8,0.2857,1,1,34.0,38.75,16.0,38.75,30.21
S8x4x4-LD11-H0.3-F0.6-A4-s42,funnel,0.3,0.2879,0.6,0.5833,0.9991,1.0,8,4,4,24,9,8,0.2857,1,1,30.0,31.25,16.0,31.25,60.09
S8x4x4-LD11-H0.5-F0.6-A4-s42,funnel,0.5,0.4996,0.6,0.5833,0.9991,1.0,8,4,4,24,9,8,0.2857,1,1,25.0,21.25,16.0,25.0,41.26
