family,method,seed,delay
A1,markov,0,2
A1,markov,0,0
A1,markov,0,6
A1,markov,0,2
A1,markov,0,0
A1,markov,0,10
A1,markov,0,6
A1,markov,0,1
A1,markov,0,1
A1,markov,0,2
A1,markov,0,5
A1,markov,0,0
A1,markov,0,4
A1,markov,0,1
A1,markov,0,9
A1,markov,0,1
A1,markov,0,0
A1,markov,0,10
A1,markov,0,1
A1,markov,0,8
A1,markov,0,5
A1,markov,0,2
A1,markov,0,4
A1,markov,0,7
A1,markov,0,1
A1,markov,0,0
A1,markov,0,5
A1,markov,0,3
A1,markov,0,9
A1,markov,0,3
A1,markov,0,0
A1,markov,0,3
A1,markov,0,1
A1,markov,0,4
A1,markov,0,2
A1,markov,0,3
A1,markov,0,1
A1,markov,0,6
A1,markov,0,5
A1,markov,0,4
A1,markov,0,1
A1,markov,0,9
A1,markov,0,4
A1,markov,0,1
A1,markov,0,4
A1,markov,0,1
A1,markov,0,7
A1,markov,0,1
A1,markov,0,0
A1,markov,0,4
A1,markov,0,2
A1,markov,0,0
A1,markov,0,6
A1,markov,0,4
A1,markov,0,1
A1,butla,0,3
A1,butla,0,0
A1,butla,0,1
A1,butla,0,6
A1,butla,0,0
A1,butla,0,7
A1,butla,0,5
A1,butla,0,3
A1,butla,0,1
A1,butla,0,2
A1,tabor,0,3
A1,tabor,0,0
A1,tabor,0,10
A1,tabor,0,7
A1,tabor,0,7
A1,tabor,0,5
A1,tabor,0,3
A1,tabor,0,1
A1,tabor,0,4
A1,tabor,0,8
A1,tabor,0,4
A1,hsmm,0,0
A1,hsmm,0,8
A1,hsmm,0,0
A1,hsmm,0,5
A1,hsmm,0,3
A1,hsmm,0,1
A1,hsmm,0,2
A1,hsmm,0,4
A1,hsmm,0,5
A1,hsmm,0,3
A1,hsmm,0,1
A1,ours,0,0
A1,ours,0,9
A1,ours,0,0
A1,ours,0,0
A1,ours,0,6
A1,ours,0,2
A1,ours,0,0
A1,ours,0,2
A1,ours,0,5
A1,ours,0,0
A1,ours,0,0
A1,ours,0,2
A1,ours,0,0
A1,ours,0,3
A1,ours,0,0
A1,ours,0,8
A1,ours,0,0
A1,ours,0,0
A1,ours,0,9
A1,ours,0,0
A1,ours,0,8
A1,ours,0,0
A1,ours,0,7
A1,ours,0,1
A1,ours,0,0
A1,ours,0,0
A1,ours,0,4
A1,ours,0,0
A1,ours,0,2
A1,ours,0,0
A1,ours,0,0
A1,ours,0,0
A1,ours,0,3
A1,ours,0,1
A1,ours,0,8
A1,ours,0,6
A1,ours,0,0
A1,ours,0,3
A1,ours,0,0
A1,ours,0,0
A1,ours,0,3
A1,ours,0,0
A1,ours,0,0
A1,ours,0,0
A1,ours,0,7
A1,ours,0,1
A1,ours,0,0
A1,ours,0,4
A1,ours,0,2
A1,ours,0,0
A1,ours,0,2
A1,ours,0,5
A1,ours,0,3
A1,ours,0,0
A1,markov,1,10
A1,markov,1,9
A1,markov,1,1
A1,markov,1,1
A1,markov,1,2
A1,markov,1,8
A1,markov,1,4
A1,markov,1,1
A1,markov,1,0
A1,markov,1,6
A1,markov,1,0
A1,markov,1,5
