gamma,eps_median,a4_success_weighted,benign_fpr,mimicable_mass
0.100000,0.060120,0.205396,0.798561,0.201439
0.150000,0.090180,0.205396,0.798561,0.201439
0.200000,0.120241,0.216547,0.788489,0.211511
0.250000,0.150301,0.216547,0.788489,0.211511
0.300000,0.180361,0.216547,0.788489,0.211511
0.350000,0.210421,0.241727,0.765827,0.234173
0.400000,0.240481,0.241727,0.765827,0.234173
0.450000,0.270541,0.241727,0.765827,0.234173
0.500000,0.300601,0.241727,0.765827,0.234173
0.550000,0.330661,0.241727,0.765827,0.234173
0.600000,0.360722,0.241727,0.765827,0.234173
0.650000,0.390782,0.241727,0.765827,0.234173
0.700000,0.420842,0.241727,0.765827,0.234173
0.750000,0.450902,0.241727,0.765827,0.234173
0.800000,0.480962,0.241727,0.765827,0.234173
0.850000,0.511022,0.241727,0.765827,0.234173
0.900000,0.541082,0.326978,0.723381,0.276619
0.950000,0.571142,0.326978,0.683813,0.316187
1.000000,0.601203,0.326978,0.683813,0.316187
1.050000,0.631263,0.326978,0.683813,0.316187
1.100000,0.661323,0.326978,0.683813,0.316187
1.150000,0.691383,0.326978,0.683813,0.316187
1.200000,0.721443,0.326978,0.683813,0.316187
1.250000,0.751503,0.408993,0.630935,0.369065
1.300000,0.781563,0.444964,0.606475,0.393525
1.350000,0.811623,0.444964,0.606475,0.393525
1.400000,0.841684,0.444964,0.606475,0.393525
1.450000,0.871744,0.444964,0.606475,0.393525
1.500000,0.901804,0.444964,0.603237,0.396763
1.550000,0.931864,0.466187,0.589209,0.410791
1.600000,0.961924,0.466187,0.589209,0.410791
1.650000,0.991984,0.466187,0.588489,0.411511
1.700000,1.022044,0.466187,0.588129,0.411871
1.750000,1.052105,0.466187,0.584173,0.415827
1.800000,1.082165,0.466187,0.584173,0.415827
1.850000,1.112225,0.466187,0.584173,0.415827
1.900000,1.142285,0.466187,0.584173,0.415827
1.950000,1.172345,0.466187,0.584173,0.415827
2.000000,1.202405,0.773741,0.498201,0.501799
