predecessor,n_out,p_max,modal_successor,delta_modal,delta_max,eps_linear_k10.25,eps_surprisal_g0.73,modal_safe_linear,modal_safe_surprisal
/dm/cylindrical_drill,9,1.0000,/vgr/pick_up_and_transport,0.0000,1.4142,2.9458,0.5855,1,1
/dm/drill,8,1.0000,/vgr/pick_up_and_transport,0.0000,1.4142,2.9458,0.5855,1,1
/dm/lower,31,0.9032,/vgr/pick_up_and_transport,0.1207,1.3495,2.9458,0.5855,1,1
/hbw/get_empty_bucket,127,0.9843,/vgr/pick_up_and_transport,0.0193,1.4032,2.9458,0.5855,1,1
/hbw/store_empty_bucket,237,0.4979,/vgr/pick_up_and_transport,0.6848,1.2103,2.9458,0.5855,1,0
/hbw/unload,264,0.9697,/vgr/pick_up_and_transport,0.0429,1.3933,2.9458,0.5855,1,1
/hw/human_review,137,0.5255,/hbw/get_empty_bucket,0.6710,1.2253,0.4486,0.2333,0,0
/mm/deburr,137,0.5182,/sm/sort,0.6813,1.2250,0.3281,0.2121,0,0
/mm/drill,59,0.6610,/sm/transport,0.4794,1.2457,0.4385,0.2316,0,0
/mm/mill,100,0.6800,/mm/deburr,0.4079,1.2355,0.4720,0.2372,1,0
/mm/transport_from_to,16,1.0000,/sm/transport,0.0000,1.4142,0.4385,0.2316,1,1
/ov/burn,228,0.6447,/wt/pick_up_and_transport,0.4729,1.2301,0.8000,0.2862,1,0
/ov/temper,70,0.9000,/wt/pick_up_and_transport,0.1229,1.3473,0.8000,0.2862,1,1
/pm/punch_gill,19,1.0000,/vgr/pick_up_and_transport,0.0000,1.4142,2.9458,0.5855,1,1
/pm/punch_recesses,22,1.0000,/vgr/pick_up_and_transport,0.0000,1.4142,2.9458,0.5855,1,1
/pm/punch_ribbing,22,1.0000,/vgr/pick_up_and_transport,0.0000,1.4142,2.9458,0.5855,1,1
/sm/sort,84,0.9881,/vgr/pick_up_and_transport,0.0168,1.4059,2.9458,0.5855,1,1
/sm/transport,128,0.2578,/dm/lower,0.8129,1.0846,0.1105,0.1611,0,0
/vgr/pick_up_and_transport,855,0.2795,/hbw/store_empty_bucket,0.7901,1.0878,0.8436,0.2923,1,0
/wt/pick_up_and_transport,227,0.4317,/mm/mill,0.6670,1.1438,0.3414,0.2146,0,0
