table,split,channel,alpha,mean,std,n
fpr_split,随机折,time,0.05,0.050770430692514856,0.007357539935668571,
fpr_split,随机折,time,0.01,0.006185583157745077,0.005101847675514962,
fpr_split,随机折,struct,0.05,0.048174470100899834,0.012752768873857435,
fpr_split,随机折,struct,0.01,0.007905501818399083,0.005561675796425806,
fpr_split,时间序,time,0.05,0.09803149606299212,0.0007874015748031538,
fpr_split,时间序,time,0.01,0.024409448818897637,0.0009643660404658181,
fpr_split,时间序,struct,0.05,0.0641732283464567,0.003198440316785812,
fpr_split,时间序,struct,0.01,0.011811023622047246,0.0012449912047907004,
cprime,gold_test,hard,hard,0.0,,508
cprime,gold_test,time,0.01,0.023622047244094488,,508
cprime,gold_test,struct,0.01,0.011811023622047244,,508
cprime,dirty_all,hard,hard,0.0025197984161267097,,2778
cprime,dirty_all,time,0.01,0.11159107271418287,,2778
cprime,dirty_all,struct,0.01,0.01079913606911447,,2778
e9,seen,hard,hard,0.0,,329
e9,seen,time,0.01,0.0,,329
e9,seen,struct,0.01,0.0121580547112462,,329
e9,unseen,hard,hard,0.0,,179
e9,unseen,time,0.01,0.0670391061452514,,179
e9,unseen,struct,0.01,0.00558659217877095,,179
