State,Device Type,Device ID
AGV_idle,AGV,1
RobotArm_idle,RobotArm,1
AGVMovingToRobotArm,AGV,1
RobotArm_producing,RobotArm,0
AGVMovingToRobotArm,AGV,0
RobotArm_producing,RobotArm,1
AGVAtRobotArm,AGV,0
AGVMovingToOrigin,AGV,0
AGVAtOrigin,AGV,2
AGV_idle,AGV,2
AGVAtRobotArm,AGV,1
AGVMovingToOrigin,AGV,1
AGVAtOrigin,AGV,0
AGV_idle,AGV,0
AGVAtOrigin,AGV,1
AGV_idle,AGV,1
RobotArm_idle,RobotArm,2
AGVMovingToRobotArm,AGV,0
RobotArm_producing,RobotArm,2
RobotArm_idle,RobotArm,1
AGVMovingToRobotArm,AGV,1
RobotArm_producing,RobotArm,1
AGVAtRobotArm,AGV,0
AGVMovingToOrigin,AGV,0
AGVAtRobotArm,AGV,1
AGVMovingToOrigin,AGV,1
AGVAtOrigin,AGV,1
AGV_idle,AGV,1
RobotArm_idle,RobotArm,1
AGVMovingToRobotArm,AGV,1
RobotArm_producing,RobotArm,1
AGVAtOrigin,AGV,0
AGV_idle,AGV,0
AGVAtRobotArm,AGV,1
AGVMovingToOrigin,AGV,1
RobotArm_idle,RobotArm,2
AGVMovingToRobotArm,AGV,0
RobotArm_producing,RobotArm,2
AGVAtOrigin,AGV,1
AGV_idle,AGV,1
RobotArm_idle,RobotArm,0
AGVMovingToRobotArm,AGV,1
RobotArm_producing,RobotArm,0
RobotArm_idle,RobotArm,1
AGVAtRobotArm,AGV,0
AGVMovingToOrigin,AGV,0
AGVAtRobotArm,AGV,1
AGVMovingToOrigin,AGV,1
AGVAtOrigin,AGV,0
AGV_idle,AGV,0
AGVAtOrigin,AGV,1
AGV_idle,AGV,1
RobotArm_idle,RobotArm,0
RobotArm_idle,RobotArm,2
