,AGVAtOrigin,RobotArm_producing,AGVAtRobotArm,AGVMovingToRobotArm,AGV_idle,RobotArm_idle,AGVMovingToOrigin
AGVAtOrigin,0,0,0,0,1,0,0
RobotArm_producing,0.285714286,0,0.285714286,0.142857143,0,0.285714286,0
AGVAtRobotArm,0,0,0,0,0,0,1
AGVMovingToRobotArm,0,1,0,0,0,0,0
AGV_idle,0.222222222,0,0.222222222,0,0,0.555555556,0
RobotArm_idle,0,0,0.125,0.75,0,0.125,0
AGVMovingToOrigin,0.571428571,0,0.285714286,0,0,0.142857143,0
,,,,,,,
,,,,,,,
,,,,,,,
,AGVAtOrigin,RobotArm_producing,AGVAtRobotArm,AGVMovingToRobotArm,AGV_idle,RobotArm_idle,AGVMovingToOrigin
AGVAtOrigin,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
RobotArm_producing,28.57%,0.00%,28.57%,14.29%,0.00%,28.57%,0.00%
AGVAtRobotArm,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
AGVMovingToRobotArm,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AGV_idle,22.22%,0.00%,22.22%,0.00%,0.00%,55.56%,0.00%
RobotArm_idle,0.00%,0.00%,12.50%,75.00%,0.00%,12.50%,0.00%
AGVMovingToOrigin,57.14%,0.00%,28.57%,0.00%,0.00%,14.29%,0.00%
